ntrio s.gamma s.pi e.gamma e.pi m1
1024 16.5 0.02 14.8036958704369 0.0192153722978383 MOM
1024 16.5 0.055 14.440543977721 0.0619161996263678 MOM
1024 16.5 0.09 15.5791899793712 0.0992794235388311 MOM
1024 16.5 0.125 15.4349192302529 0.133973845743261 MOM
1024 18 0.02 12.0111953020601 0.0272217774219375 MOM
1024 18 0.055 15.3838365015481 0.0619161996263678 MOM
1024 18 0.09 18.1575436268887 0.0886042167066987 MOM
1024 18 0.125 16.0465779923725 0.133973845743261 MOM
1024 19.5 0.02 24.6025172984663 0.0192153722978383 MOM
1024 19.5 0.055 17.2460013144069 0.0619161996263678 MOM
1024 19.5 0.09 19.7449458867162 0.0859354149986656 MOM
1024 19.5 0.125 21.5644465832518 0.112623432078997 MOM
1024 21 0.02 19.2643289042238 0.0218841740058714 MOM
1024 21 0.055 22.5863282066428 0.0512409927942354 MOM
1024 21 0.09 20.6708056330642 0.0886042167066987 MOM
1024 21 0.125 21.989141082586 0.117961035495063 MOM
1024 22.5 0.02 25.9745389739787 0.0165465705898052 MOM
1024 22.5 0.055 20.2010232010246 0.0659194021884174 MOM
1024 22.5 0.09 20.7906038067695 0.096610621830798 MOM
1024 22.5 0.125 22.2252622041757 0.127301841473179 MOM
10000 1.5 0.02 1.14737989681467 0.163330664531625 MOM
10000 1.5 0.055 1.16351751898039 0.167333867093675 MOM
10000 1.5 0.09 1.70448366869137 0.0672538030424339 MOM
10000 1.5 0.125 1.83918869346842 0.0872698158526821 MOM
10000 3 0.02 1.51139039149951 0.147317854283427 MOM
10000 3 0.055 1.59818454194198 0.160661862823592 MOM
10000 3 0.09 2.78834610866045 0.104617026954897 MOM
10000 3 0.125 3.15749532781162 0.109954630370963 MOM
10000 4.5 0.02 1.60511415661806 0.14998665599146 MOM
10000 4.5 0.055 4.22740091351336 0.0645850013344009 MOM
10000 4.5 0.09 4.65265692776868 0.0912730184147318 MOM
10000 4.5 0.125 4.66849685987246 0.11529223378703 MOM
10000 6 0.02 1.86333159787114 0.147317854283427 MOM
10000 6 0.055 6.26903894168903 0.0512409927942354 MOM
10000 6 0.09 6.17319410198584 0.0886042167066987 MOM
10000 6 0.125 5.77069964855843 0.133973845743261 MOM
10000 7.5 0.02 2.16931611808451 0.11529223378703 MOM
10000 7.5 0.055 7.50296425757049 0.0565785962103016 MOM
10000 7.5 0.09 7.67059462309535 0.0859354149986656 MOM
10000 7.5 0.125 7.40233548038461 0.123298638911129 MOM
10000 9 0.02 4.58257239429402 0.0539097945022685 MOM
10000 9 0.055 8.84105516695669 0.0565785962103016 MOM
10000 9 0.09 9.15882498930325 0.0886042167066987 MOM
10000 9 0.125 9.23736359130652 0.123298638911129 MOM
10000 10.5 0.02 10.7033676376314 0.0192153722978383 MOM
10000 10.5 0.055 10.146868036396 0.0592473979183347 MOM
10000 10.5 0.09 10.0886126682957 0.0939418201227649 MOM
10000 10.5 0.125 10.6185338055525 0.125967440619162 MOM
10000 12 0.02 12.4759731092363 0.0192153722978383 MOM
10000 12 0.055 12.1578198553325 0.0565785962103016 MOM
10000 12 0.09 11.7344943544589 0.0912730184147318 MOM
10000 12 0.125 11.524541189173 0.131305044035228 MOM
10000 13.5 0.02 13.6422272364521 0.0218841740058714 MOM
10000 13.5 0.055 14.4299342481568 0.0512409927942354 MOM
10000 13.5 0.09 13.3922470836196 0.0912730184147318 MOM
10000 13.5 0.125 13.7172081230474 0.120629837203096 MOM
10000 15 0.02 16.1129515353785 0.0192153722978383 MOM
10000 15 0.055 14.772696532132 0.0565785962103016 MOM
10000 15 0.09 14.9711701035547 0.0912730184147318 MOM
10000 15 0.125 15.0805987399647 0.123298638911129 MOM
10000 16.5 0.02 15.6678296388018 0.0245529757139045 MOM
10000 16.5 0.055 16.8763766704292 0.0539097945022685 MOM
10000 16.5 0.09 16.4025190738515 0.0912730184147318 MOM
10000 16.5 0.125 16.6540479247097 0.123298638911129 MOM
10000 18 0.02 17.5583918809949 0.0192153722978383 MOM
10000 18 0.055 19.087628142627 0.0539097945022685 MOM
10000 18 0.09 16.4439724036106 0.0992794235388311 MOM
10000 18 0.125 17.8309065254711 0.125967440619162 MOM
10000 19.5 0.02 20.7809429588701 0.0192153722978383 MOM
10000 19.5 0.055 20.1654736405812 0.0539097945022685 MOM
10000 19.5 0.09 18.7308120342127 0.0939418201227649 MOM
10000 19.5 0.125 19.5169080331235 0.123298638911129 MOM
10000 21 0.02 21.917500355015 0.0165465705898052 MOM
10000 21 0.055 19.2875581224709 0.0592473979183347 MOM
10000 21 0.09 21.6547274898805 0.0859354149986656 MOM
10000 21 0.125 21.2138808462163 0.123298638911129 MOM
10000 22.5 0.02 22.989109367871 0.0192153722978383 MOM
10000 22.5 0.055 21.6455672771496 0.0565785962103016 MOM
10000 22.5 0.09 23.3225992816289 0.0859354149986656 MOM
10000 22.5 0.125 22.1053747848775 0.123298638911129 MOM
