Gene dn_silentCFPK dn_damaging dn_lof mut_silentCFPK mut_damaging mut_lof caseData1 caseData2 caseData3 controlData1 controlData2 controlData3 BF_dn_silentCFPK BF_dn_MiD BF_dn_lof BF_cc_MiD_lof_pop1 BF_cc_MiD_lof_pop2 BF_cc_MiD_lof_pop3 BF qvalue
KLHDC1 0 0 1 1.05709e-06 3.22125e-06 1.59795759349502e-06 1 0 0 1 0 4 0.999506598295002 0.996934507702179 11.7404454026498 0.987484009068443 0.98660872036582 0.96680150783437 11.0191782383661 0.402742067791835
MOV10 0 0 1 1.53295e-06 6.23183e-06 2.59874061569243e-06 1 0 0 1 0 1 0.999284648784578 0.994085680841047 11.4324632615941 0.987484009068443 0.98660872036582 0.990839023890334 10.9630393367767 0.404391624357524
SYT9 0 0 1 1.18427e-06 2.97101e-06 1.31389477534244e-06 1 0 0 0 1 1 0.999447269551064 0.997172005078936 11.8295182038347 1.39641941261819 0.661224843302648 0.990839023890334 10.7861178976546 0.406052602446726
POGZ 0 0 1 1.11606e-10 1.66393e-06 3.70945515689399e-06 0 0 0 0 0 0 0.999999947881432 0.998414284115475 11.1010188736803 0.985463527632272 0.98660872036582 0.999384216387138 10.7694021739395 0.407670424502402
KIAA1429 0 0 1 6.00442e-07 3.76518e-06 4.26731319033372e-06 2 0 0 2 0 0 0.999719680587065 0.996418647941659 10.9385506835487 0.992213604214878 0.98660872036582 0.999384216387138 10.6601296148491 0.409278259392987
CEP104 0 0 1 5.98793e-07 7.8937e-06 2.82751665279367e-06 3 0 0 3 0 7 0.999720450213953 0.992519760509714 11.3633146350927 0.999428019669779 0.98660872036582 0.945045897575775 10.5068405620875 0.410891798402736
ALMS1 0 0 1 3.40393e-06 1.04146e-10 7.6037079325447e-06 5 0 1 5 0 5 0.998412954864727 0.99999990059917 10.0198544180474 1.02062584468262 0.98660872036582 0.985930030462008 9.93182782594039 0.412657370889592
TTC28 0 0 1 6.96542e-06 1.23597e-05 5.4673857190326e-06 0 0 0 0 0 3 0.996757888466005 0.988334932907859 10.597842348808 0.985463527632272 0.98660872036582 0.974553359057078 9.89241688445163 0.414387630837167
PDZD2 0 0 0 1.11606e-10 5.15686e-06 5.0456305862232e-06 7 0 0 0 1 2 0.999999947881432 0.995101106455814 0.885628642127055 17.1891701910659 0.661224843302648 0.982564003058375 9.84200912747471 0.416087881307782
ALS2CL 0 0 1 4.19208e-06 3.92081e-06 2.96000385213031e-06 0 2 0 3 0 1 0.998046213680112 0.996271143244897 11.3234802614011 0.429042751396133 2.05544352458945 0.990839023890334 9.83823858829173 0.417743465893585
PLXDC2 0 0 0 9.9193e-07 3.37074e-06 1.73252760561867e-06 7 0 0 1 0 1 0.999536997817717 0.996792681509294 0.958974736745853 10.5104985679496 0.98660872036582 0.990839023890334 9.81707821317427 0.419362035337519
TEK 0 0 1 1.11606e-10 5.42003e-06 2.87333198535432e-06 0 1 0 0 1 1 0.999999947881432 0.994852330564967 11.3495221167951 0.985463527632272 0.890332819226562 0.990839023890334 9.81594723907454 0.420938387509989
STXBP2 0 0 0 7.12173e-06 7.45907e-06 1.47145983923611e-06 7 0 0 1 0 3 0.996685376478074 0.992928840575707 0.96503519248492 10.5104985679496 0.98660872036582 0.974553359057078 9.65146528270718 0.422528287018726
MYOM2 0 0 0 2.75915e-06 1.22288e-05 4.66376133104353e-06 8 0 6 2 0 12 0.998713185846557 0.988457110058054 0.893755952408571 10.204502577084 0.98660872036582 1.08499668399612 9.63790766019569 0.424081891194577
ITPR1 0 0 0 9.50231e-07 3.32545e-05 7.15869087770605e-06 7 3 1 2 1 6 0.999556452905512 0.969198815768584 0.842115243267306 6.6351278939491 1.7970395252884 0.977786499056124 9.51136164406578 0.425637645335502
BRPF1 0 0 1 5.45339e-07 1.54224e-05 2.76085071171998e-06 4 1 1 6 0 2 0.999745399094295 0.985484580765754 11.3834170966051 0.576839140756207 1.40206218835785 1.01198372962338 9.17925479887901 0.427264395427258
CACNA1S 0 0 0 2.1277e-06 1.94714e-05 4.5937195784933e-06 5 5 3 4 0 12 0.999007386762899 0.981740498426678 0.895255627290908 1.40650174964461 7.3969828570633 0.984471229502167 8.9931198942675 0.428913347542978
GALNT14 0 0 0 7.5679e-07 6.68669e-06 2.09586583076014e-06 5 1 0 0 0 5 0.999646714748932 0.99365661285349 0.950610440033712 6.97758132367326 1.40206218835785 0.959303069629455 8.86162704219682 0.430566283083913
MLL2 0 0 1 5.38239e-05 8.47467e-07 1.17034340266333e-05 0 0 1 0 0 0 0.975490878338233 0.999191769021446 9.00537447705142 0.985463527632272 0.98660872036582 1.03076711477341 8.79670235531196 0.432201159379411
PHF7 0 0 1 1.11606e-10 2.53759e-06 1.14530317093119e-06 0 0 1 1 0 1 0.999999947881432 0.997583610337909 11.8827344299121 0.719168837792261 0.98660872036582 1.02122969537149 8.58944135938989 0.433866712508814
PAQR9 0 0 1 8.84932e-07 2.87372e-06 4.3930628027331e-07 0 0 0 1 0 0 0.999586920346559 0.997264370086142 12.1084622007569 0.719168837792261 0.98660872036582 0.999384216387138 8.55910107099158 0.435503264530794
RHOT2 0 0 0 2.29743e-06 6.75885e-06 1.90980875843626e-06 7 1 0 2 0 4 0.998928290106479 0.99358857712166 0.954883428731701 6.6351278939491 1.40206218835785 0.96680150783437 8.52403361849671 0.437113434099978
INHBC 0 0 1 1.11606e-10 1.72395e-06 6.5578307914702e-07 0 0 0 1 0 0 0.999999947881432 0.99835717502203 12.0387507479108 0.719168837792261 0.98660872036582 0.999384216387138 8.52266936526012 0.438687038147264
EPYC 0 0 1 1.11606e-10 2.33261e-06 8.63887888371195e-07 0 0 0 1 0 0 0.999999947881432 0.997778386353231 11.9721513745021 0.719168837792261 0.98660872036582 0.999384216387138 8.47060763951352 0.440241896479287
SERPINI1 0 0 1 1.11606e-10 1.88736e-06 8.92144190805685e-07 0 0 0 1 0 0 0.999999947881432 0.998201721817931 11.9631398635932 0.719168837792261 0.98660872036582 0.999384216387138 8.46782294951644 0.441762716684593
ICAM1 0 0 1 5.99061e-07 8.06949e-07 9.6558960875766e-07 0 0 0 1 0 1 0.999720325131998 0.999230382763421 11.9397515112291 0.719168837792261 0.98660872036582 0.990839023890334 8.38529516075203 0.443276304278392
PCDHAC2 0 0 1 2.77232e-06 6.03811e-06 1.75286941040053e-06 0 0 1 1 0 2 0.998707051632367 0.994268523945767 11.6921812554227 0.719168837792261 0.98660872036582 1.01198372962338 8.33655629498324 0.444772244251874
TMEM201 0 0 1 4.27891e-06 1.70206e-06 1.42379871026573e-06 0 0 0 1 0 0 0.998005826679688 0.998378002658046 11.7949680470708 0.719168837792261 0.98660872036582 0.999384216387138 8.3336094932879 0.446236600245888
STAP2 0 0 1 4.90011e-06 1.04146e-10 1.16296525027416e-06 0 0 0 1 0 1 0.997716985962756 0.99999990059917 11.8771470322597 0.719168837792261 0.98660872036582 0.990839023890334 8.3310236829708 0.447670277840677
BCAT1 0 0 1 4.01029e-07 3.45015e-06 1.13713085230763e-06 0 0 0 1 0 1 0.999812759973323 0.996717358241707 11.8853207209422 0.719168837792261 0.98660872036582 0.990839023890334 8.32684567279864 0.449074751930728
HSP90AA1 0 0 1 1.90576e-06 1.04146e-10 1.85548900386774e-06 1 0 0 2 0 0 0.999110833127406 0.99999990059917 11.660329432227 0.724721903495589 0.98660872036582 0.999384216387138 8.32478964849266 0.450450291481658
DDHD2 0 0 1 4.45923e-07 5.18349e-06 2.25974174726245e-06 1 0 1 2 0 2 0.999791803414801 0.995075927577341 11.5357800751717 0.724721903495589 0.98660872036582 1.01198372962338 8.30429229447997 0.451803429301307
LY75-CD302 0 0 0 8.67519e-07 6.34488e-07 4.95388523360024e-06 5 2 1 1 0 1 0.999595045283022 0.999394770311632 0.887573731383272 4.4499751265628 2.05544352458945 1.02122969537149 8.2823232110272 0.453135316991242
GTPBP3 0 0 1 3.48168e-06 7.81853e-06 1.44287932889828e-06 1 0 0 2 0 1 0.998376764203173 0.992590488523182 11.7889810508269 0.724721903495589 0.98660872036582 0.990839023890334 8.27675850300057 0.454441692765709
ZEB1 0 0 1 5.5937e-07 2.582e-06 2.05206158478444e-06 0 0 0 1 0 0 0.999738850206607 0.997541420651226 11.5995820415896 0.719168837792261 0.98660872036582 0.999384216387138 8.20291374243274 0.455743695926919
ASAH1 0 0 0 2.1329e-06 3.35506e-06 1.38909580690903e-06 5 2 0 0 1 3 0.999004963299189 0.996807555843838 0.966956023286244 6.97758132367326 1.24586913924775 0.974553359057078 8.15771724502653 0.457033081677922
KCNU1 0 0 1 1.11606e-10 1.04146e-10 3.03396200517284e-06 0 0 0 1 0 0 0.999999947881432 0.99999990059917 11.3013104132998 0.719168837792261 0.98660872036582 0.999384216387138 8.01377297130896 0.458339671557102
CCDC39 0 0 1 7.1311e-07 3.70645e-06 2.46819920243285e-06 1 1 2 2 1 2 0.999667098627334 0.996474322544492 11.4721273850126 0.724721903495589 0.890332819226562 1.0448940117375 7.70480198361229 0.459713618923436
TP53I13 0 0 1 6.29333e-06 1.60129e-06 9.6995336550032e-07 0 0 0 0 1 1 0.99706979172829 0.998473892789587 11.9383634772931 0.985463527632272 0.661224843302648 0.990839023890334 7.67361295812805 0.461070347142928
NUP54 0 0 1 8.42655e-07 2.18816e-06 1.67645019273451e-06 0 0 0 0 1 0 0.999606647100312 0.997915689184492 11.7159630006217 0.985463527632272 0.661224843302648 0.999384216387138 7.6106750880962 0.462419982756109
RTTN 0 0 1 5.44435e-07 7.50723e-06 6.00939417300705e-06 4 0 1 5 0 6 0.999745821034006 0.992883495781743 10.4478050643466 0.751335918022864 0.98660872036582 0.977786499056124 7.51685351866012 0.463772193545699
EIF3B 0 0 1 8.10455e-06 5.73391e-06 2.23931761658323e-06 1 0 0 1 1 0 0.996229692162898 0.994555773732564 11.5420374748331 0.987484009068443 0.661224843302648 0.999384216387138 7.46247389090966 0.465115256033168
ADAMTS9 0 0 0 2.96484e-06 1.92315e-05 6.25531289339005e-06 8 1 0 2 1 4 0.998617389939799 0.981961568449052 0.860420407782773 10.204502577084 0.890332819226562 0.96680150783437 7.41115436881872 0.466448599990936
NLRC5 0 0 1 1.21169e-06 1.12656e-08 4.29097022799864e-06 1 0 1 1 1 1 0.999434479209288 0.999989247800221 10.9317189783267 0.987484009068443 0.661224843302648 1.02122969537149 7.2851883723031 0.467795020355102
ZNF407 0 0 1 1.11606e-10 2.56852e-06 3.54339445052614e-06 0 0 0 0 1 0 0.999999947881432 0.997554226347831 11.1498931471318 0.985463527632272 0.661224843302648 0.999384216387138 7.243182032084 0.469129326759164
MYH9 0 0 1 1.51017e-05 2.65183e-05 5.01901858806195e-06 1 0 0 2 0 4 0.992997624981893 0.975289308158401 10.7237507900595 0.724721903495589 0.98660872036582 0.96680150783437 7.17929901550019 0.470458454948662
MAP4K4 0 0 1 4.61372e-07 1.42226e-05 4.81868574978372e-06 2 1 1 3 1 1 0.99978459201311 0.986599310129249 10.7805386166291 0.73200871699363 0.890332819226562 1.02122969537149 7.07749834606105 0.471794037844881
SCN2A 0 0 1 1.11606e-10 2.26321e-05 4.6334697402519e-06 1 0 0 1 1 3 0.999999947881432 0.978836824118811 10.8333358135204 0.987484009068443 0.661224843302648 0.974553359057078 6.74772444290004 0.473205689788546
CHD8 0 0 1 1.11606e-10 2.00668e-05 7.3524426636848e-06 1 0 0 0 2 1 0.999999947881432 0.981192246313091 10.0859998773885 1.39641941261819 0.481787081828859 0.990839023890334 6.59701049548009 0.474638820441405
PLEKHG7 0 0 0 1.11606e-10 1.44129e-06 1.33568975566115e-06 5 0 0 0 0 1 0.999999947881432 0.99862618076686 0.96820378880941 6.97758132367326 0.98660872036582 0.990839023890334 6.59511939608487 0.476047391223239
NIP7 0 0 1 6.93056e-07 2.00237e-06 4.21478597325787e-07 1 0 0 3 0 0 0.999676457385873 0.998092339603608 12.1142229651452 0.55139035604674 0.98660872036582 0.999384216387138 6.57146730407459 0.477438700726915
UFL1 0 0 1 9.58468e-07 4.19343e-06 2.24306249223797e-06 2 0 1 4 0 0 0.999552609789739 0.996012857017439 11.5408898669681 0.558724082644575 0.98660872036582 1.03076711477341 6.52849076349995 0.478819104313946
