'geneName' PP qvalue
'ANKRD11' 1 0
'ARID1B' 1 0
'MLL' 1 0
'ADNP' 1 0
'DYRK1A' 1 0
'MED13L' 1 0
'SETD5' 1 0
'ASXL3' 1 0
'SYNGAP1' 1 0
'EP300' 1 0
'TCF4' 1 0
'CTNNB1' 1 0
'SATB2' 1 0
'FOXP1' 1 0
'PURA' 1 0.000000
'STXBP1' 0.999999999999999 0.000000
'SCN2A' 0.999999999999996 0.000000
'PPP2R5D' 0.99999999999998901 0.000000
'AHDC1' 0.99999999999994604 0.000000
'KANSL1' 0.99999999999977696 0.000000
'EHMT1' 0.99999999999961198 0.000000
'KAT6B' 0.99999999999827205 0.000000
'GATAD2B' 0.99999999999623301 0.000000
'KAT6A' 0.99999999999556699 0.000000
'HNRNPU' 0.99999999998767697 0.000000
'MEF2C' 0.999999999963468 0.000000
'NSD1' 0.99999999992233601 0.000000
'KCNQ2' 0.99999999964129604 0.000000
'SLC6A1' 0.99999999962134301 0.000000
'CREBBP' 0.99999999892220603 0.000000
'POGZ' 0.999999997135812 0.000000
'TBL1XR1' 0.99999999211475099 0.000000
'PACS1' 0.99999998499994003 0.000000
'CHD2' 0.99999998413285596 0.000000
'CHAMP1' 0.99999998193711503 0.000000
'PPM1D' 0.99999993059632197 0.000000
'ZBTB18' 0.99999992062725696 0.000000
'SMARCA2' 0.99999989821411805 0.000000
'TCF20' 0.99999976613143604 0.000000
'NFIX' 0.99999966169191101 0.000000
'BCL11A' 0.99999883049712901 0.000000
'EBF3' 0.999998581036038 0.000000
'GNAO1' 0.99998497902055605 0.000000
'WAC' 0.99998272770580099 0.000001
'AUTS2' 0.99997752915921501 0.000001
'GNAI1' 0.99997172057235095 0.000002
'ASXL1' 0.99996043339756602 0.000003
'EFTUD2' 0.99992900808308904 0.000004
'HECW2' 0.99992221936133996 0.000006
'FOXG1' 0.99992153907330605 0.000007
'CTCF' 0.99991739241276001 0.000009
'DNMT3A' 0.99988754739872299 0.000011
'SET' 0.99985440619566401 0.000013
'BRPF1' 0.999832579584781 0.000016
'TRIP12' 0.99979626223384999 0.000019
'SRCAP' 0.99977715261658495 0.000023
'CLTC' 0.99973394291075901 0.000027
'CNOT3' 0.99965154061426897 0.000033
'TAB2' 0.99955449654481698 0.000040
'PUF60' 0.99955017558334203 0.000047
'QRICH1' 0.99948053364112599 0.000054
'MBD5' 0.99928330132242404 0.000065
'SIN3A' 0.99927882774407095 0.000075
'MAP4K4' 0.99885560430083298 0.000092
'SHANK3' 0.99869761038590299 1.1079912268408E-4
'MYT1L' 0.998327436289146 1.3446222250484101E-4
'HNRNPK' 0.99820194047854405 1.59292032936942E-4
'CSNK2A1' 0.99770897549523196 1.9064103987564301E-4
'WDR26' 0.99601293967224203 2.4566160926524198E-4
'COL4A3BP' 0.99547738105429495 3.0676099978580801E-4
'CHD4' 0.99453620684237198 3.7939525553006101E-4
'ARID2' 0.99369399258815505 4.6170931325665199E-4
'HIVEP2' 0.993403024736766 5.4575405229744195E-4
'TCF12' 0.99312643030391601 6.3126507451076897E-4
'KCNH1' 0.99297913612171695 7.1645972522773498E-4
'HIST1H1E' 0.99260215744943603 8.0437265714005204E-4
'SCN8A' 0.99201761554124201 8.9759358962860096E-4
'HK1' 0.99037356036801405 1.0095018722229301E-3
'C9orf142' 0.98931213968436205 1.13201273859527E-3
'WHSC1' 0.98870599358966804 1.2590376594919801E-3
'ZBTB7A' 0.988274704424983 1.3882507201774699E-3
'SON' 0.98721295927316699 1.5272603544049801E-3
'VEZF1' 0.98605201966552103 1.67690758308057E-3
'FOXP2' 0.98501463047264604 1.83534165384573E-3
'RAB11A' 0.98483514272208295 1.99215948471715E-3
'FOSL2' 0.98220902666238996 2.17586662254149E-3
'MAP2K1' 0.98218796155002996 2.3555927355004501E-3
'KCNB1' 0.98082425208463198 2.5467308625444001E-3
'TNPO3' 0.98017191725634201 2.7409033555906201E-3
'PUM2' 0.97718863812955103 2.96390845020016E-3
'PRPF40A' 0.97442616609405497 3.2123691694940499E-3
'MN1' 0.96734101553063701 3.5324410749274201E-3
'CAMTA1' 0.96627659450907699 3.8570751009058702E-3
'GABRB2' 0.96573287820655296 4.1805862359329E-3
'EEF1A2' 0.96475133290766901 4.5076186660002503E-3
'SLC2A1' 0.96087733926869301 4.8681920208472002E-3
