'Gene' qvalue PP
'SETD1A' 3.2985777649494601E-3 0.99670142223505098
'TAF13' 2.62633635980963E-2 0.95077185056875702
'RB1CC1' 6.6154659714313696E-2 0.854062748053251
'PRRC2A' 9.2544021727491793E-2 0.82828789223297405
'VPS13C' 0.11657749481997801 0.787288612810079
'MKI67' 0.13323402588661901 0.78348331878017397
'RARG' 0.150679556371905 0.74464726071637799
'ITSN1' 0.16663404478704799 0.72168453630695195
'KIAA1109' 0.18094681032097401 0.70455106540761603
'DARC' 0.195001770952142 0.67850358336734895
'URB2' 0.20683460702978901 0.67483703219373803
'HSPA8' 0.21696577689779201 0.67159135455417496
'KLHL17' 0.22583316282663701 0.66775820602722302
'ST3GAL6' 0.234672246647675 0.65041966367883497
'SHANK1' 0.24255541157666599 0.64708027941746304
'EPHA5' 0.24951791370288601 0.64604455440381203
'LPHN2' 0.25569045668120799 0.64554885566563602
'NIPBL' 0.26243571099761598 0.62289496562345403
'KDM5B' 0.26914457483971099 0.61009587600257098
'TNRC18' 0.27548915977027599 0.603963726548994
'ARFGEF1' 0.28140791877801802 0.60021690106713899
'MIF' 0.287088513379685 0.59361899998530698
'HIST1H1E' 0.29230063716113103 0.593032639647049
'BLNK' 0.29720465300937199 0.59000298248108096
'FLAD1' 0.30173664104328002 0.58949564614293404
'TRH' 0.30592870496281999 0.58926969704869103
'NCKIPSD' 0.309871487791193 0.58761615867110994
'GLIPR1L2' 0.31369340356339398 0.58311487058716405
'KPNA1' 0.31731316986757702 0.58133337361529402
'MARK4' 0.32073348843739502 0.58007727303788204
'ZMYND11' 0.32394114890992198 0.57982903691427101
'TLK1' 0.32706571908373899 0.57607260552794703
'SMARCC2' 0.33000588923234098 0.57590866601238
'DUOXA2' 0.33280064176489199 0.57497252466094495
'EPHA2' 0.33546162655506201 0.57406489057916399
'YTHDC1' 0.33802979097595098 0.5720844542929
'HIVEP3' 0.34049089938893801 0.57090919774355997
'ZDHHC5' 0.34284943980756999 0.56988456470304205
'SYNGAP1' 0.34511266766530302 0.56888467374083695
'XPR1' 0.34729165705197401 0.56772775686784605
'KL' 0.34969055985045999 0.55435332821009897
'AUTS2' 0.35224654523890597 0.542958053834805
'CSMD2' 0.35506222943796101 0.52667903420175999
'LAMB2' 0.357922056335298 0.51910538707918397
'NIPAL3' 0.36071561814423397 0.516367662262602
'LRP1' 0.36341477461214799 0.515123184331719
'CHRNG' 0.36599972119850499 0.51509273582906601
'OGDHL' 0.368479992191039 0.51494727115986405
'ANK1' 0.37090762950032502 0.512565779653953
'ATG12' 0.373246652736764 0.51214120867771595
'TNFRSF13C' 0.37562140601043598 0.50564093030596202
'PRDX6' 0.37790959368989901 0.50539283465751195
'SSBP3' 0.38012943322755199 0.504438910814488
'NR2E3' 0.38227565358770899 0.50397466732394103
'ESAM' 0.38435756647207903 0.50321913777193905
'BTNL2' 0.38637114153170099 0.50288223018912204
'CUZD1' 0.38831417162127801 0.50287614336238895
'RASSF5' 0.39023436899869202 0.50031438048868204
'PSPC1' 0.39212554968723201 0.49818597037745699
'ZNF480' 0.39396060775654601 0.497770966153948
'ZNF607' 0.39577916204569702 0.495107580605258
'MGME1' 0.39756871859607501 0.49326833183087998
'DLG2' 0.39934031274593201 0.49082084996292902
'CLCN1' 0.40106090482012602 0.49054179450559299
'KLHDC1' 0.40274206779183502 0.48966350201883202
'MOV10' 0.40439162435752402 0.488387198872682
'SYT9' 0.40605260244672597 0.48432284366591299
'POGZ' 0.40767042450240198 0.483935497767363
'KIAA1429' 0.40927825939298701 0.48138896804720599
