'geneName' PP qvalue
'SCN2A' 0.999999999999997 0.000000
'ARID1B' 0.99999999999999101 0.000000
'POGZ' 0.99999999999946398 0.000000
'KAT6B' 0.99999998927057698 0.000000
'GATAD2B' 0.99999952411420701 0.000000
'CTNNB1' 0.99999935474596802 0.000000
'ASXL3' 0.99999932224548604 0.000000
'MED13L' 0.99999916892029606 0.000000
'PURA' 0.99998120907827803 0.000002
'WAC' 0.99995003016173001 0.000007
'SETBP1' 0.999943596641928 0.000012
'TCF20' 0.99992453552438598 0.000017
'PPP2R5D' 0.99990664728239798 0.000023
'SYNGAP1' 0.999882099285057 0.000030
'GRIN2A' 0.99986044883178804 0.000037
'SCN8A' 0.99983651456059597 0.000045
'TCF4' 0.99968115369680299 0.000061
'COL4A3BP' 0.99714694972696105 2.1608088411602199E-4
'KCNH1' 0.99673864683346902 3.7635837266417798E-4
'TNPO2' 0.99644305743015504 5.3538758252321696E-4
'AGO2' 0.99557818122299502 7.2045573464137502E-4
'AHDC1' 0.99414422626815502 9.5387927996881195E-4
'DLG4' 0.99397789332680098 1.1742369927179701E-3
'TLK2' 0.99125727004498798 1.48959086614688E-3
'RAI1' 0.98997516505628702 1.83100062924954E-3
'SETD5' 0.988793259628165 2.1916060039643801E-3
'CHD2' 0.98829153663309699 2.5440822025917498E-3
'SON' 0.98791672912776496 2.8847675122218599E-3
'EHMT1' 0.98615107048789596 3.26284206394194E-3
'ANKRD11' 0.98154670520605802 3.76919048827527E-3
'TRIP12' 0.98040430106249499 4.27972301889559E-3
'PUF60' 0.97968180891173096 4.7809251460635199E-3
'CEP85L' 0.97788134755277201 5.3063108218563701E-3
'TBR1' 0.97777702419448598 5.8038597919639404E-3
'CLTC' 0.97763023402302496 6.2771713972499801E-3
'PHIP' 0.97666079580967802 6.7511167526130801E-3
'DYRK1A' 0.97515612774741001 7.24011014450434E-3
'FBXO11' 0.97302522397500502 7.7594434571488296E-3
'STXBP1' 0.97245328723184798 8.2668093369181496E-3
'MFN1' 0.97216030213294502 8.7561315501715701E-3
'SRCAP' 0.971877519705168 9.2284815195535393E-3
'FOXP1' 0.96783389617961901 9.7746153838589606E-3
'MLL' 0.95466646089604901 1.06015670982797E-2
'CACNA1A' 0.94661438221965799 1.1573931886508401E-2
'EEF1A2' 0.93260848880088298 1.28143225378997E-2
'KCNQ2' 0.91078938331803905 1.44751115410315E-2
'TCF7L2' 0.90499339290077496 1.61885476167377E-2
'AGO1' 0.88010508979739599 1.8349096837276601E-2
'KDM2B' 0.85315449803717402 2.0971472452083698E-2
'USP7' 0.84689355366490204 2.3614171929744E-2
'ATP8A1' 0.84595145867428401 2.6171708584567001E-2
'MAST1' 0.78919497550502404 2.9722349275151799E-2
'FOXG1' 0.71306936799133003 3.4575335741821901E-2
'POU3F3' 0.71305253459558804 3.9248893698536499E-2
'LRRC3C' 0.71207671454264099 4.3770246275969697E-2
'RPL26' 0.70240798252329295 4.8302777904554298E-2
'RPS16' 0.69679317837076205 5.2774778671653998E-2
'RHOG' 0.69570133941873102 5.7111397325268001E-2
'SNRPB2' 0.69167681556577598 6.1369224225419801E-2
'LHFPL4' 0.68984211381456695 6.5515701924753394E-2
'FKBP11' 0.68922947238923105 6.9536272837638899E-2
'SMARCA4' 0.68755718528337195 7.3454120287300001E-2
'HS3ST4' 0.68705498249753605 7.7255563100239094E-2
'TMPRSS12' 0.68410595037189004 8.0984289452237096E-2
'FCRL6' 0.68341104637076899 8.4608976593421606E-2
'SRSF3' 0.68121436187522399 8.8157107828745196E-2
'OTX2' 0.67735619067986896 9.1656909343541995E-2
'CHMP2A' 0.67629751702215901 9.5069344249928703E-2
'SLC35E3' 0.67216234090840798 9.8442798088213698E-2
'CHAMP1' 0.67146763936555098 0.101729791838874
'DOLPP1' 0.66941550378999903 0.10495309753424201
'LIPI' 0.66841721557453904 0.10810073207439801
'BEAN1' 0.66680243959152496 0.111184250270755
'TRA2B' 0.66451070965095804 0.114215399461002
'OVCH2' 0.66353041743428198 0.117178788569065
'ODC1' 0.66149487987300903 0.12009097714219601
'LDHC' 0.661158725833626 0.122931890090562
'EGR1' 0.658581920706652 0.125732995080341
'ZNF148' 0.65581484057553097 0.12849821235052
'PPP2CA' 0.65357341425439197 0.131222317017958
'PGAM5' 0.65036711885351195 0.13391874373559501
'DPAGT1' 0.64488567215692505 0.13661625085885701
'GLTSCR1' 0.64276670675821501 0.139274287514073
'ACTL6A' 0.64061591366646098 0.141894642261923
'TUBA1A' 0.64048814243793095 0.14445484479486601
'GMPR' 0.63678466277064805 0.146998571451081
'ARHGAP15' 0.63595210844994499 0.14949339122233399
'WASF1' 0.634298927427149 0.15195029669222601
'EPS15' 0.633124499758276 0.15436518661974799
'PPP1CB' 0.63308564346577101 0.156726844063243
'LINGO2' 0.63301739585094297 0.15903734692132901
'GNB1' 0.63262095469007296 0.16130193059946599
'LRFN4' 0.631204347864463 0.1635330458848
'MTF1' 0.63079351605478695 0.165721061183315
'CACNA1E' 0.62585279678931904 0.167915020573076
'CNST' 0.62521326337789895 0.17006993428191999
'ZMYND11' 0.62411513937130403 0.17219173764632001
'PNLIPRP1' 0.62221394169109501 0.17428963887757101
'SATB2' 0.61783192702957601 0.17638942104012501
'LRRC40' 0.61311970608437905 0.17849432976887999
'SLCO1A2' 0.61218617093892203 0.18056680005890199
'SAMD11' 0.61048305872123998 0.18261533085517501
'SPRED2' 0.60954783940421897 0.18463316415362699
'GRB14' 0.60889317510974295 0.186618487814557
'CDH19' 0.60582902404834904 0.188595178177767
