'geneName' PP qvalue
'CHD8' 1 0
'SCN2A' 0.99999999992609301 0.000000
'SYNGAP1' 0.99999999824656605 0.000000
'ARID1B' 0.99999999114338001 0.000000
'ADNP' 0.999998986953058 0.000000
'PTEN' 0.99999538342780603 0.000001
'CHD2' 0.999991713024868 0.000002
'ANK2' 0.999933130137315 0.000010
'DSCAM' 0.99991299591205196 0.000019
'DYRK1A' 0.99990595731365295 0.000026
'TBR1' 0.99987873687165196 0.000035
'KDM5B' 0.99985087008181095 0.000044
'POGZ' 0.99963337894128701 0.000069
'GIGYF1' 0.99960176543530499 0.000093
'NRXN1' 0.99859140675995695 1.80379055013054E-4
'SUV420H1' 0.99758934181832304 3.19771500429548E-4
'SHANK3' 0.99692284858274005 4.81970319066644E-4
'HIVEP3' 0.993852428880586 7.9672591908594101E-4
'ASH1L' 0.98948992909855504 1.30795460236798E-3
'PAX5' 0.98597602517163896 1.9437556136676401E-3
'GRIN2B' 0.97801781277172795 2.8979666429345E-3
'BAZ2B' 0.97400220892497502 3.9479586625749703E-3
'KDM6B' 0.96605020623721805 5.2523862756274596E-3
'KCNS3' 0.95567199405022296 6.8805370953837E-3
'TRIP12' 0.94977735860445101 8.6142212673903304E-3
'ILF2' 0.94903045670999098 1.0243272114414099E-2
'KATNAL2' 0.94769716329467202 1.18010337659294E-2
'BCL11A' 0.94680354870889405 1.32794415346857E-2
'WAC' 0.94591053290935201 1.4686683795236201E-2
'LAMC3' 0.94532093781562498 1.6019763074874099E-2
'SPAST' 0.94261140850538705 1.7354241410994699E-2
'MBD5' 0.93782535302371695 1.8754879084910001E-2
'CNOT3' 0.93373371781990799 2.0194618572642799E-2
'WDFY3' 0.93229171311772696 2.1592079405279001E-2
'PHF2' 0.93110550829469696 2.2943576899565402E-2
'FOXP1' 0.91795578932523503 2.4585261171098698E-2
'ZC3H4' 0.91635127567451202 2.61815709860822E-2
'ASXL3' 0.91571654746458897 2.7710567868959299E-2
'NCKAP1' 0.90444452803182196 2.94501807945803E-2
'CACNA2D3' 0.902964275402108 3.11398193896631E-2
'TCF7L2' 0.88837709664412501 3.3102821437619501E-2
'MLL5' 0.88720665889320105 3.5000214763076097E-2
'TNRC6B' 0.879564533233408 3.6987081088739299E-2
'WNT7B' 0.86749585554659603 3.9157923437936198E-2
'ANKRD11' 0.85982961490485499 4.1402644808096398E-2
'MYT1L' 0.85647581371325399 4.3622678318501799E-2
'RANBP17' 0.85618464123730997 4.5754437476888801E-2
'MED13L' 0.85618431288339003 4.77973801777163E-2
'HECTD4' 0.85407974358497996 4.97998878560287E-2
'SETD2' 0.83990093438431002 5.2005871411221899E-2
'DIP2A' 0.83460135812883995 5.4229259067299099E-2
'ZFYVE26' 0.77256650968489704 5.7560109668218402E-2
'RIMS1' 0.77211860422390399 6.0773718840065202E-2
'TSPAN4' 0.76263078466507805 6.4044005812192106E-2
'LRRC4' 0.74549558702068996 6.7506922306139694E-2
'BNIP1' 0.72854634831193099 7.1148828187959895E-2
'TBL1XR1' 0.72225008242587296 7.4773408703506697E-2
'GALNT18' 0.71658086630587303 7.83707487895519E-2
'NUDT17' 0.71596799091545804 8.18565328623483E-2
'GABRB3' 0.711783051070359 8.5295873130136493E-2
'ZNF614' 0.711571732379357 8.8625912384079297E-2
'MEMO1' 0.70257520886677305 9.1993636234871903E-2
'PCDHA13' 0.69818445479469804 9.5324142726466096E-2
'MLL' 0.68555692297142401 9.8747876074936597E-2
'STXBP1' 0.67483669265654 0.102231190402145
'TMEM39B' 0.67304431309910395 0.105636107015762
'CSDE1' 0.66774416891217203 0.10901849095713601
'CCSER1' 0.66724291751322395 0.112308764361984
'QRICH1' 0.66576004167828295 0.115525158477342
'PLCD4' 0.66352485793014604 0.118681586814378
'LEO1' 0.66307466602706 0.121755442408161
'BTN1A1' 0.65940987951358498 0.124794812937025
'NAA15' 0.65905261749663302 0.12775580704067399
'ZNF490' 0.65206761246321998 0.130731166236567
'GGNBP2' 0.65135160543831006 0.13363672928090201
'PSD3' 0.64846487221626503 0.13650381347172899
'AHDC1' 0.64571960155861696 0.13933208080899701
'BRWD1' 0.63340962620726005 0.14224564866776301
'FAM91A1' 0.62582934187785699 0.14518140828111001
'VCP' 0.62299406931656498 0.148079214811139
'TLK2' 0.61653369654763102 0.15098522825115401
'SLC25A46' 0.61518599097630999 0.15383679874837999
'ATP1A1' 0.60783065814859205 0.156708275171308
'RAI1' 0.60733762296041705 0.159517252574502
'UBE3C' 0.60447734086097604 0.162293786769378
'HMMR' 0.59650268882227098 0.165098478913662
'ARHGAP5' 0.59466319997793404 0.16785983892640199
'PPM1D' 0.59418048915632304 0.17056392610728
'MTUS1' 0.59274066507475798 0.17322342508276301
'CASP8AP2' 0.58720131080863402 0.17588537246174701
'ANKFN1' 0.58402983675967002 0.17852366686590701
'DSG3' 0.56594678122543296 0.18130116199534899
'LRRC7' 0.56435186822369199 0.184036075648908
'NFATC1' 0.55617711874504505 0.18679976507024901
'MFI2' 0.55270399360524103 0.189541830768402
'SCN1A' 0.54945637918400703 0.192260599414731
'QPCT' 0.53732298308965998 0.19504839753324199
'DOCK5' 0.53649072709133605 0.19778779422074699
'WHSC1' 0.53242646722031595 0.200512902691039
'ADCY9' 0.53239202695021004 0.203183853394626
'RELN' 0.53053384665252801 0.20582031181000099
'ERBB2IP' 0.52071171784635295 0.20850137034278199
'MLL3' 0.51789640004517201 0.21115770266911299
'P4HA2' 0.516815580582766 0.213773344176306
'OR51A2' 0.51669593942769099 0.21634030338007701
