"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF.dn","pval.TADA.dn","qvalue.dn"
"CHD3",8.9e-05,0,0,1,1,1,1,9,22,12,7,1.55718812022296,0.0381184947958367,0.720630818665557
"GLI3",8.9e-05,0,3,0,0,1,1,5,26,6,7,1.55718812022296,0.0381184947958367,0.720832268960686
"C3",8.94e-05,0,1,2,0,0,1,9,31,6,9,1.5498083826889,0.0381617293835068,0.721033705400815
"CACNA1I",9.07e-05,0,0,3,0,1,1,5,25,7,2,1.5260837826651,0.038225246864158,0.721236049103872
"KIF1A",9.08e-05,0,1,0,1,0,1,8,31,5,9,1.52427511995475,0.0382305844675741,0.72143806462841
"PHRF1",9.46e-05,0,0,0,0,0,1,9,32,9,14,1.45723154549424,0.038358153189218,0.721643438988686
"DYNC1H1",0.000226043,0,3,0,0,0,2,12,23,6,5,1.45015870312989,0.0383848412062984,0.721848778669584
"NCOR1",9.59e-05,0,0,0,0,0,1,14,41,19,19,1.43503195997857,0.0384622364558313,0.722054540914316
"OBSL1",9.71e-05,0,3,9,1,1,1,17,72,20,13,1.41486375071833,0.0385193488123832,0.722261012263273
"CIT",9.76e-05,0,0,1,1,0,1,13,52,8,12,1.4065508015999,0.0385529757139045,0.722467519159095
"SNRNP200",9.84e-05,0,0,2,1,0,1,3,8,3,1,1.39335952250147,0.0385908726981585,0.722674339162018
"CACNA1B",9.91e-05,0,2,2,1,1,1,12,39,6,9,1.38192664329543,0.0386405124099279,0.72288137245021
"MUC4",9.93e-05,0,2,19,2,3,1,25,62,8,15,1.37867873129055,0.0386602615425674,0.723088153929726
"NSD1",9.96e-05,0,0,0,0,0,1,8,18,4,6,1.37382229948493,0.0386698692287163,0.723294775808805
"CABIN1",9.97e-05,0,1,3,1,1,1,16,55,17,17,1.37220759398267,0.0386869495596477,0.723501054766834
"CEP350",9.97e-05,0,0,1,0,0,1,13,40,17,12,1.37220759398267,0.0386869495596477,0.723706900365707
"UTP20",1e-04,0,1,5,0,1,1,13,40,21,18,1.36737575363069,0.038708299973312,0.723912587646214
"KIAA1731",0.00010021,0,0,0,0,0,1,0,0,0,0,1.36400439150929,0.0387200427008273,0.724118034562965
"TSC2",0.0001007,0,2,3,0,1,1,19,52,17,29,1.3561727133889,0.0387744862556712,0.724323494388216
"MYH11",0.0001011,0,0,1,2,1,1,18,42,9,13,1.34981548024907,0.0388049105951428,0.724528884035337
"RAI1",0.0001012,0,1,2,1,0,1,11,45,13,7,1.34823120173853,0.0388113157192421,0.724733934023111
"FN1",0.0001051,0,2,4,2,1,1,18,87,22,24,1.28798273118033,0.039028556178276,0.724941971311026
"CHD5",0.0001056,0,0,0,0,0,1,4,23,6,10,1.28047114316881,0.0390573792367227,0.725150001811408
"CACNA1E",0.0001065,0,0,1,0,0,1,7,40,5,15,1.26706913667451,0.0390867360555111,0.725358361039643
"GTF3C1",0.0001074,0,1,6,0,2,1,10,44,13,12,1.25381836035872,0.0391342407259141,0.72556704056425
"MYH9",0.000109,0,0,0,0,0,1,7,30,12,13,1.23062914845294,0.0392207099012543,0.725776607105872
"LRP5",0.0001106,0,0,1,0,0,1,7,62,6,9,1.20790200685388,0.0392847611422471,0.72598703512777
"SBF1",0.000111,0,0,2,1,0,1,13,65,14,20,1.20229125696737,0.039309314117961,0.726197346908432
"COL12A1",0.0001152,0,2,4,1,0,1,28,72,14,24,1.1450468625618,0.0394053909794502,0.726410499851843
"MYO18B",0.0001171,0,3,7,0,1,1,12,67,20,26,1.12012277714005,0.0394539631705364,0.726624643801606
"SPTB",0.0001176,0,0,1,1,1,1,22,92,28,22,1.1136615204651,0.0394897251134241,0.726838716467603
"AKAP9",0.0001178,0,2,4,4,3,1,14,74,26,19,1.11108828560947,0.0394982652788898,0.727052494761338
"EVPL",0.0001187,0,3,13,1,3,1,24,73,22,21,1.09958784083012,0.0395174806511876,0.727266492814271
"NAV2",0.0001189,0,0,1,0,0,1,24,98,31,19,1.0970496650943,0.0395372297838271,0.727480195488729
"CHD7",0.000119,0,1,2,0,0,1,7,40,13,8,1.09578294793013,0.0395543101147585,0.727693530725521
"TTN",0.001245554,1,15,49,12,9,7,171,536,227,203,1.03261729758203,0.0396696023485455,0.727910064107061
"GCN1L1",0.0001267,0,1,3,0,0,1,9,17,14,16,1.00282700787907,0.0397560715238858,0.728127875535312
"C1orf204",2.768e-08,0,0,2,0,0,0,0,4,0,0,0.999680169528283,0.0398094475580464,0.728345421904152
"ZNF771",1.572e-07,0,0,0,0,0,0,1,0,0,0,0.998185099868496,0.0398692287163064,0.728562608519137
"FAM47E-STBD1",2.612e-07,0,0,0,0,0,0,1,6,0,0,0.996986372588289,0.039922604750467,0.728779419370372
"C16orf74",2.866e-07,0,0,0,0,0,0,0,1,0,0,0.996693844550328,0.0399759807846277,0.728995803285207
"LRTOMT",3.478e-07,0,1,2,2,0,0,0,4,2,2,0.99598939673614,0.0400293568187884,0.729211785339587
"ASCL2",3.522e-07,0,0,0,0,0,0,0,0,0,0,0.995938771039668,0.040082732852949,0.729427329081979
"C17orf89",4.82e-07,0,0,0,0,0,0,0,0,0,0,0.994446571869307,0.0401361088871097,0.72964251886633
"RPL41",5.788e-07,0,0,0,0,0,0,0,0,0,0,0.993335328932767,0.0401969575660528,0.729857333870358
"APLN",7.12e-07,0,0,0,0,0,0,0,0,0,0,0.991808430038217,0.0402503336002135,0.730071799143128
"BAGE2",9.8e-07,0,0,0,0,0,0,0,0,0,0,0.988744023359386,0.0403570856685348,0.730286004094269
"BAGE3",9.8e-07,0,0,0,0,0,0,0,0,0,0,0.988744023359386,0.0403570856685348,0.730499773669493
"ZBED3",1.031e-06,0,0,0,0,0,0,0,0,0,0,0.988162038901867,0.0404104617026955,0.730713142564822
"PRAC",1.064e-06,0,0,0,0,0,0,0,0,0,0,0.987785659341049,0.0404633039765145,0.730926100223521
"PCSK1N",1.066e-06,0,0,0,0,0,0,0,0,0,0,0.987762853472213,0.0405166800106752,0.731138627662183
"C9orf103",1.079e-06,0,0,0,0,0,0,0,2,0,0,0.987614629288312,0.0405700560448359,0.731350733357253
"SLC48A1",1.088e-06,0,0,0,0,0,0,1,6,0,0,0.987512026722409,0.0406234320789965,0.731562415982596
"C7orf49",1.095e-06,0,0,0,1,0,0,1,2,2,1,0.987432232744854,0.0406768081131572,0.731773675518952
"C19orf76",1.115e-06,0,0,0,0,0,0,0,0,0,0,0.987204288604458,0.0407301841473179,0.731984521691599
