"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF.dn","pval.TADA.dn","qvalue.dn"
"SCN2A",7.4e-05,4,2,0,0,0,5,4,26,5,5,615476690.046978,2.66880170803309e-07,2.54545240441217e-08
"SYNGAP1",6.55e-05,6,0,0,0,0,1,3,6,4,2,231597074.4999,2.66880170803309e-07,4.6550369725562e-08
"ARID1B",9.02e-05,4,0,0,0,0,1,5,35,5,8,290115.673942979,2.66880170803309e-07,1.8030544460775e-05
"SUV420H1",3.48e-05,3,0,0,0,0,2,1,5,0,1,146213.232596103,2.66880170803309e-07,4.03073995536574e-05
"DYRK1A",3.119e-05,4,0,0,0,0,0,2,8,0,6,143048.398989376,2.66880170803309e-07,5.41475293795557e-05
"CHD8",9.25e-05,3,4,0,0,0,2,7,29,4,2,63502.3006550486,2.66880170803309e-07,8.62311695960146e-05
"ANK2",0.00014923,3,3,4,2,0,2,24,89,21,17,29180.0818042122,2.66880170803309e-07,0.000150570689743747
"TBR1",3.55e-05,2,0,0,0,1,2,2,5,1,3,6654.38576039662,2.66880170803309e-07,0.000425350244185579
"ADNP",3.92e-05,3,1,0,0,0,0,3,2,0,0,5701.34644342905,2.66880170803309e-07,0.00068257340696117
"GRIN2B",7.3e-05,3,3,1,0,0,0,3,10,0,5,3811.64747118526,2.66880170803309e-07,0.00102365447179922
"KATNAL2",2.003e-05,2,3,4,1,0,0,6,22,1,2,329.61140328574,1.76140912730184e-05,0.00505550920490974
"CUL3",2.977e-05,2,2,0,0,0,0,3,4,1,0,293.459987382023,2.34854550306912e-05,0.00885758456704139
"CACNA2D3",4.37e-05,2,0,0,0,0,0,2,22,4,5,248.9937706715,3.62957032292501e-05,0.0127297202089298
"BCL11A",5.27e-05,2,0,1,0,0,0,1,16,3,1,224.16620414921,4.21670669869229e-05,0.0164864021258492
"MLL3",0.000173773,2,0,0,0,0,1,17,82,14,17,221.971980293991,4.27008273285295e-05,0.0197824037155165
"POGZ",5.66e-05,2,4,0,0,0,0,5,24,6,7,214.248843719188,4.64371497197758e-05,0.0228048143178654
"ASXL3",7.94e-05,2,0,2,0,0,0,6,29,9,5,164.969204888169,5.49773151854817e-05,0.0265651576302132
"ASH1L",0.0001066,2,1,3,0,0,0,11,36,8,10,121.598485555723,6.35174806511876e-05,0.0314301118472202
"MYO9B",0.000108,1,0,1,0,0,2,11,48,15,14,118.739949862102,6.35174806511876e-05,0.0359107229062794
"RELN",0.0001378,1,1,2,1,0,2,24,92,24,18,80.495357837951,8.64691753402722e-05,0.0422611605730675
"APH1A",1.192e-05,1,0,0,0,1,1,0,1,0,3,80.2834268009178,8.70029356818788e-05,0.0480239303928429
"PTEN",1.395e-05,1,1,0,0,0,1,1,4,0,0,78.170630650227,9.39418201227649e-05,0.0534299175018526
"TRIO",0.0001425,1,0,1,2,2,2,16,56,14,30,75.7810744670344,0.000101414464905258,0.0585554970279115
"PYHIN1",1.79e-05,1,0,10,1,2,1,3,8,1,1,74.2293204530929,0.000111022151054177,0.0633771631525424
"GABRB3",2.174e-05,1,2,1,0,0,1,0,2,0,0,70.6024096642766,0.000136642647451294,0.0681061704746542
"NAA15",2.842e-05,1,1,1,0,0,1,2,6,1,0,64.7401970360029,0.000172938350680544,0.0729806410162597
"BIRC6",0.000157418,1,1,3,0,0,2,11,46,17,11,62.6752214864101,0.000187349879903923,0.0776842528412931
"KIAA0182",6.99e-05,0,0,4,1,0,3,17,66,20,19,61.8143491560923,0.000192687483319989,0.0821312462391711
"GALNTL4",3.22e-05,1,1,3,0,0,1,1,12,3,3,61.6571313474314,0.000195890045369629,0.08628572702984
"NR3C2",3.86e-05,1,1,1,0,0,1,2,4,2,5,56.7919118163778,0.000242860955431011,0.0906167189518484
"DPP3",3.99e-05,1,0,3,1,0,1,4,24,12,5,55.8551500721722,0.000252468641579931,0.0947596435456211
"TGM1",4.3e-05,1,1,5,0,0,1,5,26,9,9,53.6878330029429,0.000262610088070456,0.0988575477204649
"SETD5",5.43e-05,1,1,1,0,0,1,13,29,17,12,46.5227695484946,0.000317053642914331,0.103495757021257
"MYT1L",5.53e-05,1,1,0,0,0,1,4,20,2,3,45.9402248166277,0.000321323725647184,0.107931192241909
"CD163L1",5.85e-05,1,6,16,4,3,1,9,33,13,11,44.1282607429104,0.000335201494528956,0.112333347245664
"KDM5B",6.13e-05,1,1,7,3,1,1,9,17,8,11,42.6058471343216,0.000345876701361089,0.116681080347744
"KDM4B",6.44e-05,1,0,0,0,0,1,4,23,4,6,40.986013185155,0.000357619428876434,0.121001560480297
"SETBP1",6.44e-05,1,0,0,0,0,1,6,18,8,6,40.986013185155,0.000357619428876434,0.125094646921663
"CACNA1D",0.0001008,0,0,1,0,0,3,15,31,9,15,39.5328724442542,0.000364024552975714,0.129164496868511
"NRXN1",7.4e-05,1,1,2,0,1,1,6,38,6,7,36.3764777996145,0.000389111289031225,0.133461191557098
"KDM6B",8.27e-05,1,0,0,0,0,1,9,28,10,12,32.67891477906,0.000417400587136376,0.138109840843589
"CDC42BPB",8.33e-05,1,2,2,0,0,1,6,19,5,6,32.4392681556505,0.000418468107819589,0.142575562320501
"MYH10",8.96e-05,1,0,3,1,0,1,6,18,4,3,30.0340993945119,0.000432879637042968,0.147232170562017
"ZFYVE26",9.99e-05,1,3,12,1,2,1,20,48,13,19,26.5053856260268,0.000454230050707232,0.152329031546525
"MBNL1",1.654e-05,0,0,2,0,0,2,1,5,1,1,21.1531027479306,0.000525220176140913,0.158399409866461
"PLEKHA8",1.657e-05,0,0,1,0,0,2,3,12,5,1,21.1441217058494,0.000525753936482519,0.164208115474722
"SNTG1",1.937e-05,0,0,0,0,0,2,4,16,3,1,20.3236805027488,0.000548705631171604,0.169976068432827
"SPON2",1.986e-05,0,0,0,0,0,2,1,5,0,0,20.1836578075526,0.000553509474246064,0.175539110516415
"KRT34",2.11e-05,0,1,2,1,0,2,3,24,8,6,19.8339295261547,0.000570589805177475,0.180962947906001
"KBTBD4",2.21e-05,0,0,3,1,0,2,1,8,4,1,19.5566386988091,0.00059194021884174,0.186239314445891
"S100G",2.123e-06,1,1,0,0,0,0,0,0,0,0,19.5021237985468,0.00059194021884174,0.191322283325309
"PTMS",3.22e-06,1,0,0,0,0,0,0,0,0,0,19.2501386788623,0.000613824392847611,0.196271577276486
"NRG4",4.55e-06,1,0,1,0,0,0,0,2,2,2,18.9493553608034,0.000660795302908994,0.201107665604262
"CSNK1E",2.441e-05,0,0,0,1,0,2,1,3,1,0,18.9319107514596,0.000661862823592207,0.205768865347114
"NTNG1",2.524e-05,0,0,0,0,0,2,2,7,3,2,18.7127123817659,0.000710435014678409,0.210313059140211
"ACACB",0.0001295,1,3,5,2,3,1,17,69,31,25,18.6268198910317,0.000727515345609821,0.214715341702106
"MTHFS",6.39e-06,1,0,3,1,0,0,1,11,0,2,18.5416017033584,0.000754203362690152,0.218983124220353
"NR2F1",2.593e-05,0,0,0,0,0,2,0,2,0,0,18.5325649347601,0.000756872164398185,0.223105828304688
"ZFAND5",6.91e-06,1,0,0,0,0,0,1,1,0,0,18.4280977478828,0.000795302908993862,0.227112570037274
"RPL12",7.15e-06,1,0,0,0,0,0,1,0,0,0,18.3759654839113,0.000817187082999733,0.230997481635285
"RGS2",7.55e-06,1,0,2,1,0,0,2,3,1,1,18.2894332161589,0.00084601014144649,0.234774244860364
"RAB2A",7.59e-06,1,0,0,1,0,0,0,0,0,0,18.2808043082909,0.000851881505204163,0.238431068553613
"LRRC14",2.7e-05,0,1,1,0,0,2,1,10,2,3,18.2568848493099,0.000859354149986656,0.241976967705014
"TCTE3",7.87e-06,1,0,0,1,1,0,1,3,0,2,18.2205253489326,0.000871630637843608,0.245419799944209
"DBX2",7.88e-06,1,0,1,0,0,0,3,5,2,2,18.2183765167285,0.000873231918868428,0.248757149931074
"PPPDE1",8.07e-06,1,0,0,0,0,0,0,1,0,0,18.1776008431904,0.000895116092874299,0.252001808065213
"PLA2G16",8.14e-06,1,0,2,0,0,0,0,5,1,0,18.1626031671363,0.000900987456631972,0.255152673739921
"FOXG1",2.77e-05,0,0,0,0,0,2,1,0,0,0,18.0789220515544,0.000930878035761943,0.258227755178585
"SPP2",9.02e-06,1,1,3,1,0,0,1,7,1,0,17.9752005874976,0.000981585268214572,0.261234448134551
"ASB17",9.61e-06,1,0,2,0,1,0,1,4,1,1,17.8507296429704,0.0010483053109154,0.264179941221599
"WDFY3",0.0001332,1,2,2,1,0,1,6,32,8,11,17.8349590155831,0.00105417667467307,0.26704556174013
"OR51A2",1.001e-05,1,0,0,0,0,0,2,0,0,0,17.76687399478,0.00110274886575927,0.269844808264585
"LYPD4",1.011e-05,1,0,1,0,1,0,2,8,1,2,17.745976847637,0.00111182279156659,0.272571377752016
"STMN4",1.018e-05,1,0,0,0,1,0,2,2,1,3,17.7313646931445,0.00112249799839872,0.275227028390566
"EFR3A",2.983e-05,0,2,5,0,0,2,2,19,1,1,17.5487870733986,0.0012500667200427,0.277846241358203
"IL27",1.115e-05,1,0,1,0,0,0,1,0,0,0,17.5302185053272,0.00126661329063251,0.280399999062723
"C20orf111",1.124e-05,1,0,1,0,0,0,2,3,0,0,17.5116811956993,0.0012820923405391,0.282890849766765
"SLC6A1",3.003e-05,0,1,0,0,0,2,2,3,1,1,17.4998747201358,0.00128636242327195,0.285319987504317
"ST3GAL6",1.197e-05,1,1,2,0,1,0,0,3,0,4,17.3621055315711,0.00138137176407793,0.287712568804558
"ATP1B1",1.265e-05,1,1,0,0,0,0,0,4,1,1,17.2240195785735,0.00148865759274086,0.290070228200538
"SIRPB2",1.273e-05,1,0,3,1,1,0,1,18,2,7,17.2078525712518,0.00150520416333066,0.292372565721579
"DEAF1",3.13e-05,0,0,2,0,2,2,3,12,5,2,17.1926825941227,0.00151481184947958,0.294621431722285
"PHF7",1.34e-05,1,1,2,0,0,0,4,4,0,2,17.0730976088594,0.0015964771817454,0.296837089880098
"POTEH",1.392e-05,1,0,0,0,0,0,0,0,0,0,16.9692997866871,0.00167333867093675,0.299018112408963
"GRAMD3",1.431e-05,1,2,9,0,1,0,0,6,1,1,16.8919001740089,0.00174112623432079,0.301161242391691
"ILF2",1.432e-05,1,0,0,0,0,0,0,1,0,0,16.8899206051241,0.00174432879637043,0.303254872350337
"MEGF11",3.28e-05,0,1,14,1,3,2,7,27,6,9,16.8373080191483,0.0017742193755004,0.305309325947926
"ETV2",1.526e-05,1,0,0,0,0,0,2,10,0,1,16.7049586847992,0.00189591673338671,0.307339480543888
"NFKBIL1",1.548e-05,1,0,0,0,0,0,0,8,1,0,16.6619873959538,0.00194395516413131,0.309331241600096
"FCRL6",1.576e-05,1,4,3,1,2,0,3,10,1,0,16.6074697929245,0.00199626367760875,0.311287836841671
"NUDT6",1.578e-05,1,0,5,2,2,0,1,9,2,3,16.6035830806126,0.00199786495863357,0.313202072471558
"TSPAN17",1.607e-05,1,0,2,0,0,0,1,3,0,2,16.5473363633875,0.00204697091006138,0.315083908086663
"OVOL1",1.616e-05,1,0,0,0,1,0,0,6,1,0,16.5299224879678,0.00206298372030958,0.316928102477607
"RNF38",1.633e-05,1,0,1,0,0,0,1,7,4,0,16.4970837598698,0.00209874566319722,0.318738343854749
"ETFB",1.648e-05,1,2,1,2,0,0,1,6,4,4,16.4681671046336,0.00212596744061916,0.320515088682318
"PCYT1A",1.679e-05,1,0,5,0,2,0,3,19,5,4,16.4085798844334,0.00219535628502802,0.322264252352441
"HSPA13",1.72e-05,1,0,2,8,20,0,5,13,0,3,16.3301294833676,0.00227061649319456,0.323989696714552
"SRBD1",3.504e-05,0,1,9,0,2,2,3,8,2,4,16.321241424237,0.0022743528155858,0.325681316168255
"PBX1",1.765e-05,1,0,0,0,0,0,0,1,0,0,16.2444928747195,0.00236776087536696,0.327350659743509
"SLC25A39",1.772e-05,1,0,1,0,0,0,2,8,2,8,16.2312154091685,0.00237630104083267,0.328988660007069
"SMARCE1",1.79e-05,1,0,0,0,0,0,0,1,0,0,16.1971273119755,0.00240992794235388,0.330599426960924
"GSDMC",1.8e-05,1,4,5,0,0,0,3,15,3,3,16.1782230000378,0.00243661595943421,0.332181471790675
"ADSS",1.824e-05,1,0,0,0,0,0,0,5,2,1,16.1329501068088,0.00247824926607953,0.33373959741421
"ASB4",1.838e-05,1,0,1,1,2,0,0,5,1,4,16.1066043175458,0.00250867360555111,0.335271687076079
"TROVE2",1.855e-05,1,0,1,0,0,0,5,7,5,2,16.0746756476064,0.00254390178809714,0.336779317762583
"PLA1A",1.88e-05,1,2,2,0,0,0,2,9,2,1,16.0278462193418,0.00258179877235121,0.338265382456939
"LDB1",1.902e-05,1,0,0,0,0,0,0,6,0,2,15.9867585670719,0.00262556712036296,0.339729666762114
"SCP2",1.912e-05,1,0,5,1,0,0,0,7,4,4,15.9681200955131,0.00265545769949293,0.341169534776786
"TTLL3",3.67e-05,0,3,1,2,4,2,1,25,7,4,15.9497808062587,0.00267467307179077,0.342585618643909
"ABCA13",0.00016701,0,8,27,8,14,3,25,102,37,23,15.8532626947146,0.0027659460902055,0.343989749665261
"NFIA",1.977e-05,1,0,0,0,0,0,0,6,1,1,15.8475423560903,0.00277128369362156,0.34536939382861
"PRPF39",1.987e-05,1,0,0,1,0,0,0,1,1,0,15.8290796452116,0.00278729650386976,0.346727003419796
"LRRTM2",1.989e-05,1,0,1,0,0,0,2,5,0,3,15.8253898999627,0.00278783026421137,0.348061100275468
"SLC7A7",1.991e-05,1,1,6,0,1,0,3,13,1,5,15.8217010864306,0.00279370162796904,0.349372303142494
"FAM8A1",2.048e-05,1,0,1,0,0,0,1,4,0,1,15.7169604877615,0.00289298105150787,0.350675141594898
"MYOC",2.059e-05,1,2,5,4,2,0,4,10,5,6,15.6968339885823,0.00291593274619696,0.351958278905275
"VIL1",3.79e-05,0,2,4,6,4,2,5,31,5,3,15.6869203345659,0.00292340539097945,0.353220832179155
"CARKD",2.067e-05,1,0,1,5,4,0,5,13,3,4,15.6822140715926,0.00292607419268748,0.35446262195862
"CDC73",2.098e-05,1,0,0,0,0,0,0,7,1,1,15.625701065123,0.00297624766479851,0.355691125658048
"BIRC3",2.14e-05,1,0,0,0,0,0,1,9,0,1,15.5494866988403,0.00305471043501468,0.356909340547186
"BRF2",2.14e-05,1,0,4,0,0,0,3,15,0,5,15.5494866988403,0.00305471043501468,0.358107419653032
"RAD21L1",2.14e-05,1,0,0,0,0,0,0,0,0,0,15.5494866988403,0.00305471043501468,0.359285858117798
"KIAA1609",2.159e-05,1,0,5,1,1,0,7,20,10,11,15.5151411442483,0.00309153989858553,0.360449629274168
"PAX5",2.166e-05,1,0,0,0,0,0,5,8,0,1,15.5025082416144,0.00310595142780891,0.36159627214852
"SIX2",2.168e-05,1,1,0,0,0,0,1,3,5,5,15.4989008877627,0.00310755270883373,0.362725034167543
"UTP6",2.181e-05,1,2,2,1,0,0,3,4,2,4,15.4754752403675,0.00313477448625567,0.363838880385405
"SRSF11",2.187e-05,1,0,0,0,0,0,0,1,1,0,15.4646763415585,0.00314811849479584,0.364936559778961
"PCOLCE",2.191e-05,1,1,1,1,0,0,1,11,4,2,15.4574816107601,0.0031534560982119,0.366017996768681
"SPARCL1",2.199e-05,1,1,0,1,0,0,4,10,7,5,15.4431030244633,0.00316840138777689,0.367084470762974
"FAM169A",2.224e-05,1,0,0,0,0,0,3,10,2,2,15.3982632452954,0.00321377101681345,0.368140128980661
"GABRB1",2.224e-05,1,0,1,0,0,0,0,9,2,3,15.3982632452954,0.00321377101681345,0.369179670278994
"KCNS3",2.226e-05,1,0,2,0,0,0,2,4,1,2,15.3946821603857,0.00321697357886309,0.370203901432008
"BTRC",2.231e-05,1,0,1,1,0,0,2,7,3,5,15.3857333944163,0.00322764878569522,0.371213823493175
"NAPRT1",2.247e-05,1,0,6,0,0,0,4,15,6,2,15.357135188378,0.00325060048038431,0.372212142817348
"SLCO1B3",2.257e-05,1,0,2,2,0,0,4,20,5,4,15.3392905533664,0.00327141713370697,0.373197825058611
"TRIM17",2.298e-05,1,2,13,0,0,0,5,14,2,4,15.2663620245025,0.0033386709367494,0.374177771235666
"MAK",2.312e-05,1,1,5,1,0,0,2,9,3,3,15.2415456902648,0.00336055511075527,0.375146379857636
"PRKAR1B",2.312e-05,1,0,0,0,0,0,0,10,2,1,15.2415456902648,0.00336055511075527,0.376100950673491
"PPM1D",2.315e-05,1,1,1,2,1,0,1,6,2,6,15.2362335914734,0.0033712303175874,0.377042413494745
"HAPLN3",2.334e-05,1,0,0,1,1,0,3,20,11,4,15.2026368352631,0.00340805978115826,0.377974367968813
"FAM190A",2.349e-05,1,1,0,0,0,0,8,20,4,4,15.176169763877,0.00343741659994662,0.378896191976781
"SPAST",2.349e-05,1,0,1,0,0,0,2,4,0,1,15.176169763877,0.00343741659994662,0.379805032548017
"PLVAP",2.388e-05,1,0,1,0,0,0,3,12,2,4,15.1075886758371,0.00351000800640512,0.380709078012872
"TBC1D23",2.44e-05,1,0,2,1,0,0,1,17,2,4,15.0166689172241,0.00359007205764612,0.381611042971648
"KDM1B",2.447e-05,1,0,0,0,0,0,4,5,2,1,15.0044750497602,0.00360074726447825,0.382501967000668
"ECM2",2.448e-05,1,3,5,0,0,0,4,19,3,5,15.0027339443917,0.00360341606618628,0.383380885206631
"BTBD6",2.453e-05,1,0,1,0,1,0,2,7,0,3,14.9940316994858,0.00361355751267681,0.384248831628606
"BTN1A1",2.455e-05,1,2,6,0,1,0,2,4,1,2,14.9905523325398,0.00361996263677609,0.385105440877259
"KIRREL3",4.14e-05,0,1,0,0,0,2,3,24,2,7,14.9464977220665,0.00366052842273819,0.385955487623886
"RPS6KA3",2.489e-05,1,0,0,0,0,0,0,0,0,0,14.9315367012256,0.00367493995196157,0.386795868592015
"UNC45B",4.16e-05,0,0,1,0,0,2,12,39,15,14,14.905338525558,0.00369468908460101,0.387628024386935
"CSTF2T",2.507e-05,1,1,0,1,2,0,0,10,1,1,14.9003950525256,0.00369842540699226,0.388449776003322
"PTPRR",2.507e-05,1,0,0,0,0,0,3,12,2,5,14.9003950525256,0.00369842540699226,0.389260785768514
"ZMYND11",2.535e-05,1,0,0,0,0,0,2,5,0,0,14.8520922316717,0.00375126768081132,0.390066530479014
"GGNBP2",2.54e-05,1,1,0,0,0,0,0,1,3,1,14.8434845886947,0.00376407792900987,0.390862812851497
"WHSC1",2.556e-05,1,1,0,0,0,0,4,13,7,3,14.8159764217047,0.00380517747531358,0.391651856887509
"KLC1",2.557e-05,1,0,0,1,0,0,0,4,4,1,14.8142589955723,0.00380571123565519,0.392431033855264
"ZNF594",2.56e-05,1,1,4,2,1,0,4,14,8,8,14.8091080108086,0.00380998131838804,0.393200897651456
"TUBGCP4",2.571e-05,1,0,2,0,1,0,1,4,2,1,14.7902376570652,0.00383186549239391,0.393963080801847
"ZNF238",2.583e-05,1,0,0,0,0,0,2,5,4,1,14.7696815151546,0.00384734454230051,0.394717907963322
"LEO1",2.589e-05,1,1,0,0,0,0,3,11,1,3,14.7594150501554,0.00385748598879103,0.39546443717037
"UBR3",2.638e-05,1,0,2,0,1,0,3,12,2,6,14.6758609898314,0.00394662396583934,0.396210502452235
"SCARA3",2.697e-05,1,0,1,2,0,0,5,16,7,2,14.5759342627557,0.00405764611689351,0.396957880017626
"GIMAP8",2.708e-05,1,0,3,0,1,0,7,12,8,6,14.5573854895046,0.00408273285294903,0.397698081768498
"SH3D19",2.709e-05,1,1,4,1,3,0,9,15,5,7,14.5557005055304,0.00408380037363224,0.398429486525776
"CCIN",2.712e-05,1,1,2,0,0,0,5,20,8,3,14.5506468208901,0.00408753669602349,0.399152601444232
"COL25A1",2.713e-05,1,0,9,0,2,0,6,18,9,6,14.5489626816756,0.0040886042167067,0.399867229345425
"DPP4",2.716e-05,1,1,9,0,0,0,5,16,1,9,14.5439115306281,0.00409287429943955,0.400573865792152
"HGF",2.719e-05,1,0,4,1,0,0,2,12,4,1,14.5388622788752,0.00409821190285562,0.401272652623135
"FPGS",2.737e-05,1,1,3,0,1,0,3,13,0,0,14.5086066104188,0.00411956231651988,0.401966277554435
"ZC3H14",2.756e-05,1,0,0,0,1,0,1,17,3,3,14.4767440357997,0.00415212169735789,0.402654999268416
"ASAH2",2.771e-05,1,0,0,0,0,0,0,3,1,2,14.4516429043001,0.00417453963170536,0.403338230954193
"TTK",2.774e-05,1,0,0,0,0,0,2,5,3,4,14.4466283367184,0.00417880971443822,0.404014064704913
"SRPK2",2.798e-05,1,1,0,0,0,0,0,8,3,0,14.4065795722865,0.00420656525220176,0.40468611203735
"SPRED2",2.799e-05,1,0,2,0,0,0,1,1,3,3,14.4049134852945,0.00421403789698425,0.405350643758849
"NPBWR1",2.81e-05,1,0,2,1,1,0,1,12,2,3,14.3866002948892,0.00423165198825727,0.406009427748729
"INSC",2.838e-05,1,1,5,2,0,0,12,24,6,3,14.3400985826949,0.00427221777421938,0.406665332017502
"TCF4",2.848e-05,1,0,0,0,0,0,0,10,1,1,14.3235303006379,0.00428769682412597,0.407315487025189
"AMPD1",2.893e-05,1,0,7,1,1,0,9,34,11,14,14.2492291617015,0.00435922070990125,0.407965626057029
"CNGB3",2.893e-05,1,2,6,1,0,0,4,19,9,2,14.2492291617015,0.00435922070990125,0.40860854132185
"MTMR12",2.897e-05,1,1,0,1,0,0,2,9,0,2,14.2426448456559,0.00436615959434214,0.409244989493154
"DDX3X",2.899e-05,1,0,0,0,0,0,0,1,0,0,14.2393539233406,0.00436882839605017,0.409874760435612
"ZC3H11A",2.929e-05,1,0,0,0,0,0,2,11,3,1,14.1900887852179,0.00442433947157726,0.410502372136177
"PRPF40A",2.934e-05,1,1,3,0,0,0,3,1,4,1,14.1818958905004,0.00443448091806779,0.411123944733131
"FAM91A1",2.99e-05,1,2,4,0,0,0,3,13,4,2,14.0904846486369,0.00451240992794235,0.411747513074197
"FOXP1",3.015e-05,1,0,0,0,1,0,2,7,2,2,14.0498822523534,0.00455084067253803,0.412368243837277
"USP15",3.021e-05,1,1,1,0,0,0,0,7,1,2,14.0401565425378,0.00456365092073659,0.412983258768709
"CSDE1",3.048e-05,1,1,0,0,0,0,2,5,6,1,13.9964809838823,0.00460635174806512,0.413595861308838
"QRICH1",3.065e-05,1,1,0,0,0,0,2,3,2,0,13.9690570575378,0.0046367760875367,0.414204567182023
"ANO5",3.148e-05,1,2,8,2,1,0,6,17,4,8,13.8359967676785,0.00474299439551641,0.41481941420847
"ARHGAP44",3.15e-05,1,0,1,0,0,0,1,12,3,2,13.8328074790282,0.00474886575927409,0.415428123627186
"MSH4",3.156e-05,1,3,4,0,0,0,0,8,3,2,13.8232443888157,0.00475260208166533,0.416031389309255
"CUL1",3.197e-05,1,0,0,0,0,0,0,0,0,0,13.7580879106516,0.00479797171070189,0.416634498770301
"NUAK1",3.236e-05,1,0,1,0,1,0,8,24,5,4,13.6964183458085,0.0048390712570056,0.417237154704304
"LRRC4",3.24e-05,1,0,0,0,0,0,1,4,0,1,13.6901102079456,0.0048465439017881,0.417834217491948
"SPATA13",3.253e-05,1,0,2,0,1,0,8,32,6,4,13.6696304785151,0.00485882038964505,0.418427088578775
"DNMT3A",4.81e-05,0,0,5,0,1,2,1,19,2,1,13.6318391399511,0.0048871096877502,0.419017437317543
"FAM40A",3.29e-05,1,0,0,0,0,0,4,9,1,2,13.6115233857141,0.00490685882038965,0.419603696873354
"ARMC2",3.33e-05,1,0,5,0,0,0,2,10,5,3,13.5490056443684,0.00496557245796637,0.420189818331438
"AGAP2",4.87e-05,0,1,0,0,0,2,5,11,1,1,13.5203258116683,0.00498585535094742,0.420772713194977
"MPHOSPH8",3.4e-05,1,0,0,0,0,0,9,23,2,2,13.4403465050702,0.00504190018681612,0.421357145999535
"MGRN1",3.41e-05,1,0,0,0,0,0,4,21,1,2,13.4249009555092,0.00504990659194022,0.421937207038984
"VCP",3.437e-05,1,0,0,0,0,0,1,0,2,0,13.383293895011,0.00507499332799573,0.422515352765531
"GRIA2",3.44e-05,1,0,0,0,0,0,1,16,0,1,13.3786795145654,0.00508620229516947,0.423088250385539
"TRIM37",3.578e-05,1,0,6,0,2,0,2,9,2,4,13.1682690632604,0.0052340539097945,0.423674758463234
"REPIN1",3.62e-05,1,1,2,0,1,0,1,15,3,2,13.104944426245,0.00527461969575661,0.424261377243622
"TAF4",3.64e-05,1,0,0,1,0,0,1,13,0,0,13.0749057950103,0.00529917267147051,0.42484507744361
"SMURF1",3.65e-05,1,2,0,0,0,0,0,8,1,1,13.0599144435651,0.00531305044035228,0.425424532743235
"ADAM33",3.66e-05,1,0,5,1,1,0,2,8,2,2,13.0449417016145,0.00532586068855084,0.425999803803201
"OSBPL3",3.66e-05,1,0,2,0,1,0,3,25,6,3,13.0449417016145,0.00532586068855084,0.426569596091167
"TCF3",3.69e-05,1,0,0,1,0,0,5,27,10,8,13.000134883713,0.00534934614358153,0.427138029552572
"SKI",3.71e-05,1,0,1,0,0,0,4,5,3,5,12.9703562633441,0.00536482519348812,0.42770378107239
"MAP3K14",3.72e-05,1,0,0,0,0,0,2,4,1,2,12.9554946562993,0.0053787029623699,0.428265553992535
"WDR27",3.74e-05,1,5,16,0,1,0,8,22,6,12,12.9258267249616,0.00539738457432613,0.428824730666219
"CBX4",3.79e-05,1,0,0,0,0,0,0,2,0,3,12.8519782305581,0.00546196957566053,0.429385305011657
"DLL1",3.81e-05,1,0,0,0,0,0,7,16,6,4,12.8225668512789,0.00548759007205765,0.429943314454075
"PDE11A",3.82e-05,1,1,7,1,2,0,7,23,3,12,12.8078884964107,0.00551160928742994,0.430497487293268
"RANBP17",3.83e-05,1,2,9,6,1,0,8,25,8,9,12.7932283322417,0.00552068321323726,0.431047876053855
"MAD1L1",3.91e-05,1,3,6,0,2,0,4,18,6,11,12.6765989733075,0.00561035495062717,0.431603581687222
"RAPGEF3",3.91e-05,1,1,3,0,0,0,12,22,9,7,12.6765989733075,0.00561035495062717,0.432154235451194
"SCUBE2",3.91e-05,1,3,18,1,0,0,14,39,7,6,12.6765989733075,0.00561035495062717,0.432699905923185
"FAM59A",3.95e-05,1,0,1,2,1,0,2,17,5,2,12.6187164201184,0.0056615959434214,0.433245755622924
"EP400",0.000163178,1,1,1,8,9,1,8,48,33,19,12.6075748849313,0.00566373098478783,0.433787688541569
"CNOT3",3.96e-05,1,1,3,0,0,0,5,11,5,5,12.604290534829,0.005677074993328,0.434325070146832
"RASAL1",3.97e-05,1,1,1,1,1,0,3,16,6,8,12.589882502957,0.00568401387776888,0.434858930880591
"NCKAP1",3.98e-05,1,0,0,1,0,0,1,8,0,1,12.5754923006693,0.00569202028289298,0.435389317206201
"BRSK2",4e-05,1,0,0,1,0,0,4,16,3,6,12.5467652896864,0.00570483053109154,0.435917518736508
"WDR81",5.42e-05,0,1,3,0,0,2,7,33,13,12,12.5426394270991,0.00570589805177475,0.43644144313177
"PHF15",4.06e-05,1,2,0,0,0,0,1,9,2,2,12.4610096987221,0.00575233520149453,0.436967829994193
"RAPGEF4",4.1e-05,1,1,1,1,1,0,5,29,7,1,12.4041919521584,0.00578275954096611,0.437494541239955
"C20orf194",4.22e-05,1,2,3,0,1,0,5,36,10,6,12.2354149516366,0.00590018681611956,0.438031306769857
"LMTK3",4.3e-05,1,0,0,0,0,0,1,2,1,0,12.124279006035,0.0059599679743795,0.438573123403359
"STXBP5",4.31e-05,1,1,0,0,0,0,4,15,5,5,12.1104640309265,0.00597384574326128,0.439111492567388
"JUP",4.34e-05,1,1,1,1,0,0,6,23,5,4,12.0691212506387,0.0060080064051241,0.439648853081377
