"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF","pval.TADA","qvalue"
"ABCA12",9.27e-05,0,3,8,1,1,0,14,40,12,12,0.164577083755837,0.965311449159327,0.949227899756122
"ADAM32",2.335e-05,0,0,7,1,1,0,9,13,1,3,0.16446298361528,0.965361622631438,0.949230136698378
"PLBD1",1.861e-05,0,1,9,1,1,0,3,9,1,2,0.164329984387363,0.965428342674139,0.949232373853331
"TONSL",6.09e-05,0,2,9,1,0,0,7,35,11,8,0.164155979264218,0.965497731518548,0.949234611362931
"AGRN",0.0001103,0,0,1,0,1,0,10,47,10,16,0.164109319311717,0.965518548171871,0.949236848786234
"KIAA1244",9.83e-05,0,1,3,0,1,0,9,37,8,5,0.164008371675657,0.965553776354417,0.949239086311202
"C14orf49",4.6e-05,0,0,3,0,2,0,4,27,10,16,0.163908515889805,0.965586335735255,0.949241323934042
"ANXA9",1.462e-05,0,0,7,0,0,0,3,10,3,4,0.163728146003033,0.965663197224446,0.949243561933464
"SLC26A10",2.459e-05,0,3,12,1,1,0,5,5,5,4,0.16352262368552,0.965731518548172,0.949245800396488
"ESRP2",3.93e-05,0,0,6,1,1,0,6,20,5,3,0.163490971030129,0.965743795036029,0.949248038721199
"IGDCC4",5.78e-05,0,1,2,0,4,0,3,27,5,4,0.163337654686307,0.965803576194289,0.949250277328742
"SPINK5",3.95e-05,0,0,7,1,0,0,7,38,11,12,0.163313241051581,0.965813717640779,0.949252515772918
"ATR",8.94e-05,0,1,6,1,0,0,11,22,3,5,0.163154696914471,0.965871363757673,0.949254754517987
"TNNI3K",2.937e-05,0,1,9,2,2,0,2,30,8,1,0.162394937912563,0.966110488390713,0.949256995644762
"C22orf15",2.856e-06,0,0,7,0,1,0,0,2,0,0,0.162337721939356,0.966145182812917,0.94925923672146
"DOCK3",8.66e-05,0,0,3,0,0,0,6,20,5,2,0.162227560989371,0.966180410995463,0.949261477931326
"MYBPC3",6.53e-05,0,0,4,0,0,0,6,32,9,2,0.162070608914983,0.966258873765679,0.949263719436277
"CPA6",1.565e-05,0,0,6,0,1,0,8,12,2,3,0.161972462216287,0.966290365625834,0.949265961032771
"PLXNA3",0.0001124,0,0,0,0,0,0,1,12,0,0,0.161790299737927,0.966359220709901,0.949268203011532
"ZNF646",8.72e-05,0,0,1,0,2,0,9,60,15,8,0.161652028039331,0.96641526554577,0.949270445220634
"KIF16B",5.6e-05,0,2,8,2,3,0,12,36,9,7,0.161625530213631,0.966429677074993,0.949272687273281
"DMGDH",2.953e-05,0,3,11,0,0,0,3,22,9,3,0.161468441953687,0.96650173472111,0.949274929621351
"ZNF225",2.482e-05,0,1,5,0,3,0,5,21,10,7,0.161445348518099,0.966506538564185,0.949277171801192
"MCC",4.75e-05,0,0,5,0,0,0,7,29,7,15,0.161388715103693,0.966533226581265,0.949279413928872
"FBXL18",4.72e-05,0,0,5,0,0,0,2,10,4,3,0.161263601692715,0.966583400053376,0.949281656241313
"SLC4A9",3.52e-05,0,2,8,0,1,0,4,20,6,11,0.161095617274719,0.966672004270083,0.949283898886803
"POU6F2",3.07e-05,0,0,6,0,0,0,7,8,2,6,0.161095161375453,0.966672538030424,0.949286141285762
"ANGEL1",2.588e-05,0,1,7,0,1,0,1,15,3,3,0.16056410776102,0.966905257539365,0.949288385273684
"ASCL3",8e-06,0,1,10,1,1,0,0,9,1,0,0.160345305403475,0.967018414731785,0.949290629770256
"TMC3",4.66e-05,0,2,8,1,2,0,8,11,7,8,0.160338100992377,0.967022151054177,0.949292874043477
"ASCC3",7.52e-05,0,3,9,1,1,0,9,29,8,14,0.160188901700596,0.967113424072591,0.949295118584529
"PCDHA7",6.27e-05,0,2,11,2,0,0,17,88,8,8,0.160168151650234,0.967124633039765,0.949297362949102
"ARHGEF19",3.56e-05,0,2,9,0,0,0,3,10,4,1,0.160133638442574,0.967146517213771,0.949299607184824
"KIF15",4.64e-05,0,1,8,2,2,0,3,21,4,1,0.159862373815729,0.967278356018148,0.94930185211051
"TUBA3C",2.613e-05,0,1,7,0,1,0,0,2,0,0,0.159726589987308,0.967376567921003,0.94930409725753
"TRIM4",1.706e-05,0,2,10,1,2,0,1,8,2,5,0.15954719858162,0.967463570856685,0.949306342776663
"C15orf55",4.17e-05,0,0,3,1,4,0,4,34,10,4,0.159299176252923,0.96756818788364,0.949308588905196
"TIE1",5.91e-05,0,0,3,1,3,0,7,29,10,8,0.159271089011206,0.967580998131839,0.949310834882512
"FUCA2",1.713e-05,0,0,7,0,0,0,2,11,3,2,0.159207908434489,0.96761142247131,0.949313080829983
"HTR3B",1.708e-05,0,0,7,0,0,0,5,11,3,3,0.159186354732798,0.967615158793702,0.949315326603684
"WWC1",4.92e-05,0,0,2,0,3,0,6,30,6,11,0.158815621693276,0.967753936482519,0.949317573410944
"GRAMD1C",2.163e-05,0,1,8,1,2,0,3,8,2,0,0.158747381508077,0.967789164665065,0.949319820205779
"ZNF335",6.82e-05,0,0,3,0,1,0,7,46,11,11,0.158713504152828,0.967799839871898,0.949322066869389
"GPR56",3.21e-05,0,0,5,0,1,0,1,8,4,3,0.158557841119249,0.967853215906058,0.949324313822826
"C9orf174",5.79e-05,0,2,7,2,4,0,12,43,13,20,0.158151489613233,0.967986122231118,0.949326561932702
"AIMP2",1.793e-05,0,0,7,0,0,0,3,8,5,3,0.157875423007664,0.968077929009875,0.949328810748491
"LRRK1",0.0001031,0,1,4,0,0,0,9,42,7,10,0.157651246853811,0.968154790499066,0.949331060090725
"EVC2",5.39e-05,0,1,7,1,1,0,6,36,9,10,0.157582244748462,0.968186816119562,0.949333309422925
"PCDHGB5",5.37e-05,0,0,5,0,0,0,12,60,0,0,0.157308523980562,0.968278622898319,0.949335559452746
"ABCG4",3.31e-05,0,0,6,0,0,0,1,11,5,8,0.156994376756133,0.968390712570056,0.949337810319845
"PCK2",3.016e-05,0,3,12,1,1,0,9,39,3,14,0.156962131851934,0.968400320256205,0.949340061049712
"OTOGL",7.18e-05,0,6,12,2,5,0,4,19,0,0,0.156715584505586,0.968497998398719,0.949342312383081
"LAMC2",4.79e-05,0,0,4,1,0,0,3,34,0,7,0.156639741912541,0.968519882572725,0.949344563729869
"BOD1L",0.000113737,0,0,2,0,0,0,10,33,9,10,0.15628080469859,0.96867787563384,0.949346816068502
"KCNV2",3.78e-05,0,0,7,2,2,0,6,24,4,2,0.156059475655692,0.968752068321324,0.949349068923274
"SPATA6",1.916e-05,0,0,7,0,0,0,4,20,2,2,0.156059450121048,0.968753135842007,0.949351321529296
"KIAA0020",2.315e-05,0,0,10,2,0,0,4,22,6,6,0.155951678780083,0.968805978115826,0.949353574258956
"PCDHGA5",5.43e-05,0,0,15,1,3,0,18,134,9,3,0.15590308861538,0.968824125967441,0.949355826907729
"RLTPR",6.9e-05,0,0,3,0,1,0,6,28,8,5,0.155774400585966,0.96887376567921,0.949358079752405
"EVPL",0.0001187,0,3,13,1,3,1,24,73,22,21,0.155759048191026,0.968879637042968,0.949360332401347
"CEP120",3.498e-05,0,0,5,0,1,0,2,22,3,6,0.15562478609189,0.968928742994395,0.949362585265439
"TRIM42",3.367e-05,0,0,4,0,2,0,5,15,4,5,0.155580196310656,0.968944755804644,0.949364838034833
"BCAN",5.03e-05,0,0,5,0,0,0,6,22,5,3,0.155580114747023,0.968945289564985,0.949367090555776
"SUSD2",4.93e-05,0,2,6,1,4,0,5,23,5,12,0.155480354699363,0.968971977582066,0.949369343172664
"OSBP2",5.19e-05,0,0,5,0,0,0,4,21,2,10,0.155382359125233,0.969021083533493,0.94937159587939
"NCOR2",0.0001404,0,0,1,0,0,0,17,75,25,24,0.155224039408788,0.969076060848679,0.949373848884328
"PRMT7",3.41e-05,0,0,5,0,1,0,6,17,2,7,0.155170604572796,0.969087269815853,0.949376101825138
"ZNF124",2.777e-06,0,1,7,0,3,0,2,7,0,1,0.155093061651645,0.969119829196691,0.949378354785104
"CLTCL1",6.67e-05,0,2,7,1,2,0,15,50,18,10,0.15502273948034,0.969151854817187,0.949380607739285
