"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3"
"CDK10","1.955e-05","0","2","5","0","2","0","2","5","7","5"
"CDK11A","4.14e-05","0","1","2","1","2","0","0","5","2","0"
"CDK11B","4.1e-05","0","1","2","0","0","0","1","1","0","0"
"CDK12","6.03e-05","0","5","1","0","3","0","6","15","7","4"
"CDK13","4.67e-05","0","0","1","0","0","0","8","15","6","5"
"CDK14","1.688e-05","0","1","0","1","0","0","1","8","2","1"
"CDK15","1.434e-05","0","0","5","1","1","0","0","14","8","4"
"CDK16","2.527e-05","0","0","0","0","0","0","0","2","0","0"
"CDK17","1.779e-05","0","0","0","0","0","0","1","9","1","0"
"CDK18","2.473e-05","0","0","7","0","1","0","6","15","6","5"
"CDK19","2.089e-05","0","0","0","0","0","0","0","3","0","0"
"CDK2","1.242e-05","0","0","0","0","1","0","1","3","0","1"
"CDK20","1.46e-05","0","1","5","0","1","0","1","12","0","2"
"CDK2AP1","5.87e-06","0","0","0","0","0","0","0","0","1","0"
"CDK2AP2","5.7e-06","0","0","0","0","0","0","1","0","0","0"
"CDK3","1.355e-05","0","2","7","0","0","0","2","12","2","3"
"CDK4","1.335e-05","0","0","0","0","0","0","1","3","0","0"
"CDK5","1.496e-05","0","0","0","1","1","0","1","3","0","1"
"CDK5R1","1.987e-05","0","0","0","0","0","0","1","5","0","1"
"CDK5R2","2.211e-05","0","0","0","0","0","0","0","1","0","0"
"CDK5RAP1","2.36e-05","0","4","4","1","2","0","2","8","6","2"
"CDK5RAP2","7.07e-05","0","4","8","1","3","0","10","30","9","10"
"CDK5RAP3","2.142e-05","0","3","13","0","1","0","3","24","1","6"
"CDK6","1.727e-05","0","0","0","0","0","0","1","1","1","0"
"CDK7","1.216e-05","0","1","0","0","0","0","0","3","0","1"
"CDK8","1.742e-05","0","1","0","0","0","0","0","3","2","1"
"CDK9","2.067e-05","0","0","0","0","0","0","0","4","1","0"
"CDKAL1","2.143e-05","0","1","0","0","1","0","4","7","1","3"
"CDKL1","1.383e-05","0","0","6","1","0","0","6","13","0","1"
"CDKL2","1.596e-05","0","1","4","0","1","0","0","9","4","3"
"CDKL3","1.579e-05","0","3","2","0","0","0","1","11","1","4"
"CDKL4","1.111e-05","0","1","1","1","0","0","2","5","0","1"
"CDKL5","4.13e-05","0","0","1","0","0","0","1","4","0","0"
"CDKN1A","9.94e-06","0","0","1","1","0","0","2","5","1","3"
"CDKN1B","1.31e-05","0","0","1","0","0","0","2","5","3","3"
"CDKN1C","8.59e-06","0","0","0","0","1","0","0","0","0","0"
"CDKN2A","1.419e-05","0","0","2","0","0","0","1","1","2","1"
"CDKN2AIP","2.339e-05","0","1","0","0","0","0","2","2","2","1"
"CDKN2AIPNL","5.93e-06","0","0","0","0","0","0","0","0","1","0"
"CDKN2B","7.56e-06","0","0","1","0","0","0","1","6","1","1"
"CDKN2C","8.01e-06","0","0","0","0","0","0","1","2","0","0"
"CDKN2D","7.65e-06","0","0","0","0","0","0","2","0","1","0"
"CDKN3","6.79e-06","0","0","2","0","0","0","0","2","1","0"
"CDNF","7.99e-06","0","1","2","0","2","0","1","0","0","0"
"CDO1","8.32e-06","0","0","0","0","0","0","0","7","1","1"
"CDON","5.21e-05","0","2","8","1","0","1","7","24","6","9"
"CDR1","1.072e-05","0","0","0","0","0","0","0","2","0","0"
"CDR2","1.956e-05","0","0","0","0","0","0","3","11","3","3"
"CDR2L","1.078e-05","0","0","1","0","0","0","1","10","1","2"
"CDRT1","3.198e-05","0","0","0","0","0","0","0","1","1","1"
"CDRT15","8.45e-06","0","0","0","0","0","0","0","1","0","0"
"CDRT4","6.85e-06","0","0","0","0","0","0","0","3","0","0"
"CDS1","1.575e-05","0","0","1","0","0","0","1","8","1","3"
"CDS2","1.775e-05","0","2","2","1","0","0","0","1","0","4"
"CDSN","2.004e-05","0","0","0","0","0","0","2","4","3","1"
"CDT1","3.34e-05","0","2","0","1","1","0","5","18","13","7"
"CDV3","4.59e-06","0","0","1","0","0","0","1","4","0","0"
"CDX1","6.65e-06","0","0","0","0","0","0","0","6","1","3"
"CDX2","1.634e-05","0","0","0","0","0","0","1","1","1","1"
"CDX4","1.583e-05","0","0","1","0","0","0","0","0","0","0"
"CDYL","2.632e-05","0","0","1","0","0","0","1","1","2","1"
"CDYL2","2.609e-05","0","0","0","0","0","0","3","10","4","0"
"CEACAM1","2.044e-05","0","3","4","1","3","0","2","8","2","4"
"CEACAM16","2.249e-05","0","0","1","0","0","0","2","7","2","1"
"CEACAM18","1.676e-05","0","0","3","0","2","0","4","4","0","0"
"CEACAM19","1.225e-05","0","2","3","0","0","0","2","9","2","1"
"CEACAM20","2.306e-05","0","2","2","0","1","0","0","0","0","0"
"CEACAM21","1.255e-05","0","0","0","0","0","0","2","6","2","0"
"CEACAM3","1.093e-05","0","1","0","0","0","0","1","9","0","0"
"CEACAM4","1.105e-05","0","0","2","1","2","0","1","3","2","4"
"CEACAM5","2.927e-05","0","0","2","1","0","0","5","10","8","8"
"CEACAM6","1.519e-05","0","0","0","0","0","0","7","12","3","2"
"CEACAM7","1.14e-05","0","0","2","1","0","0","2","5","1","2"
"CEACAM8","1.364e-05","0","2","3","0","2","0","5","14","3","2"
"CEBPA","9.18e-06","0","0","0","0","0","0","0","2","0","1"
"CEBPB","1.191e-05","0","0","0","0","0","0","0","2","0","1"
"CEBPD","1.354e-05","0","0","0","0","0","0","1","4","0","1"
"CEBPE","1.627e-05","0","0","1","0","0","0","2","8","0","1"
"CEBPG","6.77e-06","0","0","0","0","0","0","1","2","0","1"
"CEBPZ","3.65e-05","0","2","5","2","1","0","2","10","5","2"
"CECR1","2.114e-05","0","1","1","0","0","0","4","15","6","4"
"CECR2","6.41e-05","1","1","0","0","1","0","3","27","10","7"
"CECR5","1.952e-05","0","1","2","1","1","0","4","10","5","4"
"CECR6","2.284e-05","0","0","0","0","0","0","0","4","0","0"
"CEL","3.5e-05","0","0","1","1","0","0","3","21","2","2"
"CELA1","1.022e-05","0","0","1","0","1","0","0","7","3","2"
"CELA2A","1.515e-05","0","0","2","0","0","0","2","7","0","2"
"CELA2B","1.486e-05","0","0","0","0","0","0","1","3","3","2"
"CELA3A","1.409e-05","0","1","5","1","0","0","1","3","4","2"
"CELA3B","1.53e-05","0","3","2","0","1","0","4","8","0","1"
"CELF1","1.881e-05","0","0","0","0","0","0","2","5","1","1"
"CELF2","2.408e-05","0","0","0","1","0","0","1","2","1","0"
"CELF3","1.897e-05","0","0","0","0","0","0","1","2","3","2"
"CELF4","3.08e-05","0","0","0","0","0","0","1","4","2","1"
"CELF5","2.526e-05","0","0","1","0","0","0","1","0","2","2"
"CELF6","1.588e-05","0","0","0","0","0","0","2","6","0","1"
"CELSR1","0.000187555","0","0","1","1","0","0","26","79","20","30"
"CELSR2","0.000158781","0","0","2","0","0","0","26","72","20","19"
"CELSR3","0.000189408","0","1","4","0","0","0","18","76","29","24"
"CEMP1","1.065e-05","0","1","2","0","2","0","0","1","2","1"
"CEND1","8.11e-06","0","0","0","0","0","0","1","2","1","0"
"CENPA","4.87e-06","0","0","0","0","2","0","0","0","0","1"
"CENPB","3.92e-05","0","0","0","0","0","0","1","3","1","0"
"CENPBD1","4.24e-06","0","0","1","0","0","0","1","1","1","0"
"CENPC1","2.426e-05","0","0","0","0","1","0","2","11","1","2"
"CENPE","7.87e-05","0","1","7","0","0","0","14","38","9","9"
"CENPF","0.0001004","0","3","22","3","6","0","16","67","12","15"
"CENPH","8.13e-06","0","0","3","0","1","0","1","0","0","0"
"CENPI","2.458e-05","0","0","0","0","0","0","1","1","0","0"
"CENPJ","4.92e-05","0","3","10","3","8","0","12","21","5","11"
"CENPK","8.76e-06","0","1","1","0","0","0","0","0","2","0"
"CENPL","1.067e-05","0","0","0","0","0","0","1","4","1","3"
"CENPM","9.42e-06","0","0","2","0","0","0","0","1","1","5"
"CENPN","1.238e-05","0","0","3","0","0","0","2","11","2","4"
"CENPO","1.166e-05","0","1","3","1","0","0","2","4","1","0"
"CENPP","9.73e-06","0","0","2","0","0","0","4","14","1","1"
"CENPQ","7.63e-06","0","3","6","1","0","0","0","1","0","0"
"CENPT","2.62e-05","0","0","3","1","1","0","2","17","4","6"
"CENPV","9.48e-06","0","0","0","0","0","0","0","3","3","0"
"CENPW","4.21e-06","0","0","0","0","0","0","3","2","3","0"
"CEP104","3.97e-05","0","3","11","1","0","0","5","19","8","7"
"CEP112","3.287e-05","0","3","6","3","4","0","5","24","7","2"
"CEP120","3.498e-05","0","0","5","0","1","0","2","22","3","6"
"CEP128","3.96e-05","0","0","3","0","0","0","7","24","10","9"
"CEP135","3.83e-05","0","1","4","0","1","0","5","30","8","6"
"CEP152","5.44e-05","0","3","7","5","1","0","4","33","13","4"
"CEP164","5.77e-05","0","4","6","5","0","0","4","16","6","7"
"CEP170","5.52e-05","0","0","0","0","0","0","0","12","1","1"
"CEP19","5.87e-06","0","2","0","0","0","0","0","2","1","1"
"CEP192","7.29e-05","0","0","9","1","1","0","7","37","11","10"
"CEP250","8.94e-05","0","1","5","1","4","0","7","24","13","7"
"CEP290","5.84e-05","0","4","22","2","3","0","7","45","9","5"
"CEP350","9.97e-05","0","0","1","0","0","1","13","40","17","12"
"CEP41","1.442e-05","0","1","2","0","0","0","0","0","0","0"
"CEP44","1.279e-05","0","0","0","1","0","0","4","8","4","2"
"CEP55","1.581e-05","0","3","4","2","0","0","5","11","2","2"
"CEP57","1.623e-05","0","0","0","0","0","0","2","5","2","8"
"CEP57L1","1.406e-05","0","3","2","2","0","0","1","6","4","4"
"CEP63","2.291e-05","0","1","9","2","2","0","4","24","10","5"
"CEP68","3.142e-05","0","1","2","0","0","0","0","15","2","3"
"CEP70","1.816e-05","0","0","5","1","1","0","2","11","5","4"
"CEP72","3.23e-05","0","1","3","1","0","0","3","10","4","3"
"CEP76","2.507e-05","0","1","2","0","0","0","1","5","2","1"
"CEP78","2.6e-05","0","0","2","0","0","0","1","15","4","4"
"CEP85","2.937e-05","0","0","2","0","0","0","6","19","1","5"
"CEP85L","2.53e-05","0","0","0","0","0","0","0","0","0","0"
"CEP89","3.124e-05","0","4","6","2","1","0","1","19","5","1"
"CEP95","2.633e-05","0","3","11","1","0","0","2","16","3","2"
"CEP97","3.064e-05","0","0","4","0","0","0","3","6","6","4"
"CEPT1","1.471e-05","0","0","0","0","0","0","0","2","0","0"
"CER1","1.04e-05","0","0","1","0","0","0","1","2","1","0"
"CERCAM","2.928e-05","0","1","0","2","0","0","7","13","5","8"
"CERK","2.446e-05","0","1","2","0","0","0","2","10","5","3"
"CERKL","2.376e-05","0","2","7","2","0","0","3","6","6","2"
"CERS1","1.271e-05","0","1","0","0","0","0","0","5","1","1"
"CERS2","1.746e-05","0","2","3","0","0","0","0","3","0","1"
"CERS3","1.466e-05","0","0","1","0","0","0","2","3","0","1"
"CERS4","1.951e-05","0","2","2","7","2","0","5","5","1","3"
"CERS5","1.647e-05","0","0","1","0","2","0","2","8","6","4"
"CERS6","1.62e-05","0","0","1","0","0","0","1","5","3","0"
"CES1","2.308e-05","0","0","3","0","2","0","4","10","2","0"
"CES2","3.066e-05","0","1","3","1","1","0","3","7","2","2"
"CES3","2.662e-05","0","2","5","0","0","0","2","10","1","9"
"CES4A","1.774e-05","0","0","1","0","0","0","0","11","3","1"
"CES5A","2.452e-05","0","2","13","1","2","0","6","32","4","6"
"CETN1","1.024e-05","0","2","0","0","0","0","3","4","0","0"
"CETN2","6.16e-06","0","0","0","0","0","0","0","0","0","0"
"CETN3","4.98e-06","0","1","1","1","2","0","0","0","0","0"
"CETP","2.158e-05","0","1","5","2","1","0","5","8","5","1"
"CFB","3.291e-05","0","0","3","0","0","0","3","12","3","5"
"CFC1","1.234e-05","0","0","0","0","0","0","0","0","0","0"
"CFC1B","1.234e-05","0","0","0","0","0","0","0","0","0","0"
"CFD","1.406e-05","0","0","0","0","0","0","2","1","0","0"
"CFDP1","1.031e-05","0","0","0","0","0","0","3","9","2","3"
"CFH","4.38e-05","0","0","3","0","0","0","3","22","4","2"
"CFHR1","1.229e-05","0","0","1","0","0","0","1","3","1","2"
"CFHR2","8.96e-06","0","1","5","2","3","0","0","6","4","2"
"CFHR3","1.14e-05","0","0","2","0","0","0","1","3","2","2"
"CFHR4","1.136e-05","0","1","0","0","0","0","2","9","4","5"
"CFHR5","1.999e-05","0","6","7","0","4","0","1","6","3","5"
"CFI","2.094e-05","0","2","3","0","1","0","1","14","10","6"
"CFL1","8.1e-06","0","0","0","0","0","0","0","0","0","0"
"CFL2","5.53e-06","0","0","3","0","2","0","0","2","0","0"
"CFLAR","1.233e-05","0","0","3","0","1","0","3","2","3","0"
"CFP","1.744e-05","0","0","0","0","0","0","0","0","0","0"
"CFTR","5.1e-05","0","4","16","2","2","0","16","80","24","14"
"CGA","5.06e-06","0","0","0","0","0","0","0","0","0","0"
"CGB","1.085e-05","0","0","0","0","0","0","0","0","0","0"
"CGB1","1.033e-05","0","0","1","0","0","0","0","0","0","0"
"CGB2","1.063e-05","0","0","0","0","0","0","0","0","0","0"
"CGB5","1.085e-05","0","0","0","0","0","0","0","0","0","0"
"CGB7","1.051e-05","0","0","1","0","0","0","0","0","0","0"
"CGB8","1.085e-05","0","0","0","0","0","0","0","0","0","0"
"CGGBP1","6.22e-06","0","0","0","0","0","0","0","1","0","0"
"CGN","5.48e-05","0","4","12","1","5","0","13","56","18","14"
"CGNL1","5.66e-05","0","0","4","0","0","1","3","43","6","11"
"CGREF1","1.08e-05","0","0","11","1","1","0","0","4","0","3"
"CGRRF1","1.163e-05","0","0","0","0","1","0","1","12","3","1"
"CH25H","1.62e-05","0","0","0","1","0","0","0","1","1","1"
"CHAC1","1.403e-05","0","1","3","0","0","0","2","10","4","4"
"CHAC2","7.12e-06","0","0","1","0","0","0","1","7","4","1"
"CHAD","2.148e-05","0","0","0","0","0","0","1","8","1","4"
"CHADL","3.06e-05","0","0","0","0","0","0","0","0","0","0"
"CHAF1A","5.02e-05","0","0","0","0","0","0","3","12","4","3"
"CHAF1B","2.58e-05","0","0","0","0","0","0","2","9","0","0"
"CHAMP1","2.834e-05","0","0","0","0","0","0","0","6","0","0"
"CHAT","3.24e-05","0","0","1","1","0","0","5","23","3","4"
"CHCHD1","7.8e-06","0","0","0","0","2","0","0","0","0","0"
"CHCHD10","6.28e-06","0","0","0","0","0","0","2","2","0","0"
"CHCHD2","7.34e-06","0","0","2","0","0","0","1","1","1","0"
"CHCHD3","7.78e-06","0","0","0","1","0","0","0","8","5","2"
"CHCHD4","5.77e-06","0","1","0","0","0","0","0","9","4","2"
"CHCHD5","6.23e-06","0","0","1","0","1","0","2","12","1","2"
"CHCHD6","1.138e-05","0","0","1","2","0","0","4","5","1","0"
"CHCHD7","2.448e-06","0","0","0","0","0","0","0","2","0","0"
"CHCHD8","4.21e-06","0","0","0","0","0","0","0","4","0","0"
"CHD1","5.6e-05","0","0","1","1","0","1","5","17","7","2"
"CHD1L","2.998e-05","0","3","10","2","0","0","3","18","2","4"
"CHD2","7.02e-05","0","1","0","0","0","1","7","8","5","3"
"CHD3","8.9e-05","0","0","1","1","1","1","9","22","12","7"
"CHD4","8.01e-05","0","0","1","1","0","0","4","12","2","2"
"CHD5","0.0001056","0","0","0","0","0","1","4","23","6","10"
"CHD6","0.0001091","0","0","2","0","1","0","4","30","14","8"
"CHD7","0.000119","0","1","2","0","0","1","7","40","13","8"
"CHD8","9.25e-05","3","4","0","0","0","2","7","29","4","2"
"CHD9","9.5e-05","0","1","3","0","0","0","9","29","11","10"
"CHDH","2.51e-05","0","0","2","0","0","0","5","17","2","2"
"CHEK1","1.565e-05","0","0","2","0","0","0","1","4","1","4"
"CHEK2","1.957e-05","0","1","7","0","2","0","7","36","6","7"
"CHERP","4.54e-05","0","0","1","0","0","0","4","6","1","5"
"CHFR","2.818e-05","0","0","4","0","0","0","1","13","4","1"
"CHGA","1.73e-05","0","1","0","0","0","0","0","1","0","1"
"CHGB","2.585e-05","0","2","2","0","0","0","2","11","3","1"
"CHI3L1","1.763e-05","0","1","3","0","0","0","6","8","3","1"
"CHI3L2","1.048e-05","0","0","3","0","1","0","8","16","1","7"
"CHIA","2.034e-05","0","1","7","3","2","0","5","13","3","2"
"CHIC1","3.38e-06","0","0","0","0","0","0","0","0","0","0"
"CHIC2","7.83e-06","0","0","0","0","0","0","0","1","1","2"
"CHID1","1.993e-05","0","1","6","1","0","0","4","14","6","4"
"CHIT1","2.029e-05","0","1","4","2","1","0","6","16","3","5"
"CHKA","1.667e-05","0","0","0","0","0","0","2","9","1","1"
"CHKB","1.966e-05","0","0","0","0","0","0","3","7","3","1"
"CHL1","4.38e-05","0","0","2","1","0","0","6","25","9","4"
"CHM","2.234e-05","0","0","1","0","0","0","1","5","0","0"
"CHML","2.255e-05","0","0","2","0","0","0","2","9","5","4"
"CHMP1A","1.048e-05","0","0","4","0","0","1","3","5","1","1"
"CHMP1B","1.229e-05","0","0","0","0","0","0","0","1","0","1"
"CHMP2A","1.074e-05","0","0","0","0","0","0","0","7","1","1"
"CHMP2B","7.59e-06","0","2","0","0","0","0","1","2","1","0"
"CHMP3","7.78e-06","0","0","2","0","0","0","0","0","0","0"
"CHMP4A","1.177e-05","0","0","5","0","0","0","0","4","0","0"
"CHMP4B","1.197e-05","0","0","0","0","0","0","1","1","0","0"
"CHMP4C","8.85e-06","0","2","1","0","0","0","0","11","1","4"
"CHMP5","8.12e-06","0","1","0","0","0","0","0","1","0","0"
"CHMP6","7.46e-06","0","0","0","0","0","0","0","4","0","1"
"CHMP7","1.79e-05","0","0","0","0","0","0","0","0","4","2"
"CHN1","1.676e-05","0","0","1","1","0","0","2","5","0","0"
"CHN2","2.022e-05","0","0","2","1","0","0","5","15","2","3"
"CHODL","7.83e-06","0","0","1","0","1","0","0","3","3","0"
"CHORDC1","1.092e-05","0","1","0","0","0","0","1","5","1","1"
"CHP","9.02e-06","0","0","0","0","0","0","0","2","0","0"
"CHP2","1.099e-05","0","1","0","0","0","0","0","2","0","0"
"CHPF","4.97e-05","0","1","2","0","3","0","6","17","7","5"
"CHPF2","4.15e-05","0","3","11","0","1","0","13","40","2","9"
"CHPT1","1.575e-05","0","0","0","0","0","0","4","15","2","3"
"CHRAC1","5.29e-06","0","0","0","0","0","0","1","1","0","0"
"CHRD","4.83e-05","0","0","0","0","0","0","5","21","10","3"
"CHRDL1","1.747e-05","0","0","0","0","0","0","0","3","0","0"
"CHRDL2","2.183e-05","0","0","2","1","3","0","3","19","4","3"
"CHRFAM7A","2.455e-05","0","0","0","0","0","0","0","3","0","0"
"CHRM1","2.339e-05","0","0","0","0","0","0","0","0","2","1"
"CHRM2","1.601e-05","0","0","0","0","0","0","0","3","0","0"
"CHRM3","2.761e-05","0","0","0","0","1","0","0","1","1","4"
"CHRM4","2.848e-05","0","0","0","0","0","0","0","0","0","0"
"CHRM5","1.996e-05","0","1","0","0","1","0","1","10","6","4"
"CHRNA1","2.307e-05","0","0","2","0","1","0","5","9","6","3"
"CHRNA10","2.923e-05","0","0","4","0","0","0","2","16","9","3"
"CHRNA2","2.834e-05","0","1","4","0","0","0","1","9","6","4"
"CHRNA3","2.279e-05","0","1","2","2","2","0","3","8","7","2"
"CHRNA4","4.06e-05","0","0","1","0","0","0","3","30","5","6"
"CHRNA5","1.707e-05","0","1","5","1","0","0","2","17","3","3"
"CHRNA6","1.861e-05","0","0","4","1","2","0","3","10","6","0"
"CHRNA7","3.07e-05","0","0","2","0","0","0","0","0","0","2"
"CHRNA9","2.101e-05","0","0","9","2","0","0","5","10","7","2"
"CHRNB1","2.869e-05","0","0","4","0","1","0","1","11","6","5"
"CHRNB2","2.727e-05","0","0","1","0","1","0","3","18","5","2"
"CHRNB3","1.977e-05","0","2","3","1","2","0","4","11","4","4"
"CHRNB4","2.609e-05","0","0","2","0","0","0","3","10","5","3"
"CHRND","2.515e-05","0","0","4","1","0","1","4","20","6","11"
"CHRNE","3.44e-05","0","1","4","2","3","0","2","21","3","3"
"CHRNG","2.734e-05","0","2","6","1","3","0","3","19","5","9"
"CHST1","3.26e-05","0","1","0","0","0","0","1","5","3","0"
"CHST10","1.663e-05","0","0","0","0","0","0","1","4","2","3"
"CHST11","1.912e-05","0","1","1","0","0","0","0","8","0","1"
"CHST12","3.46e-05","0","0","2","1","0","0","3","9","5","3"
"CHST13","2.033e-05","0","0","1","0","0","0","1","9","0","0"
"CHST14","1.93e-05","0","0","0","0","0","0","4","7","1","2"
"CHST15","3.1e-05","0","0","1","0","0","0","3","7","3","2"
"CHST2","3.07e-05","0","0","0","0","0","0","0","7","0","2"
"CHST3","2.038e-05","0","0","1","0","0","0","2","2","1","0"
"CHST4","1.843e-05","0","4","3","1","1","0","3","12","3","4"
"CHST5","3.29e-05","0","0","2","0","1","0","1","8","2","0"
"CHST6","3.33e-05","0","1","0","0","0","0","9","24","4","4"
"CHST7","2.088e-05","0","0","0","0","0","0","0","0","0","0"
"CHST8","3.089e-05","0","0","1","1","0","0","3","9","3","4"
"CHST9","1.489e-05","0","0","2","1","0","0","3","13","5","5"
"CHSY1","3.37e-05","0","0","0","0","0","0","1","9","1","2"
"CHSY3","2.986e-05","0","0","3","0","0","0","4","9","1","2"
"CHTF8","5.23e-06","0","0","1","0","0","0","1","4","0","1"
"CHTOP","1.308e-05","0","0","0","0","0","0","2","1","0","0"
"CHUK","2.466e-05","0","0","1","1","0","0","2","12","0","1"
"CHURC1","4.58e-06","0","0","0","0","0","0","1","4","1","0"
"CHURC1-FNTB","2.006e-05","0","0","2","0","0","0","0","11","0","0"
"CIAO1","1.617e-05","0","1","3","0","0","0","1","10","3","2"
"CIAPIN1","1.175e-05","0","1","2","0","0","0","3","10","2","0"
"CIB1","8.22e-06","0","0","1","0","2","0","5","10","0","4"
"CIB2","9.53e-06","0","0","0","1","0","0","2","4","1","2"
"CIB3","9.68e-06","0","2","2","1","1","0","4","1","1","2"
"CIB4","7e-06","0","0","3","1","0","0","3","10","1","1"
"CIC","8.05e-05","0","0","2","0","0","0","3","7","3","11"
"CIDEA","1.296e-05","0","1","0","0","0","0","4","18","3","0"
"CIDEB","9.48e-06","0","0","6","3","4","0","4","19","3","0"
"CIDEC","7.98e-06","0","0","1","0","0","0","2","6","0","2"
"CIITA","6.04e-05","0","0","4","1","0","0","7","41","9","14"
"CILP","5.17e-05","0","3","5","0","1","0","12","35","12","11"
"CILP2","8.06e-05","0","0","4","1","0","0","1","24","7","6"
"CINP","8.3e-06","0","0","1","0","0","0","0","0","0","1"
"CIR1","1.488e-05","0","0","2","0","2","0","1","4","2","3"
"CIRBP","9.9e-06","0","0","0","0","0","0","0","3","3","0"
"CIRH1A","2.825e-05","0","0","2","0","0","0","7","16","6","0"
"CISD1","4.07e-06","0","0","0","0","0","0","1","1","1","0"
"CISD2","6.36e-06","0","0","0","0","0","0","0","1","0","0"
"CISD3","5.05e-06","0","0","0","0","0","0","0","0","0","0"
"CISH","1.387e-05","0","0","1","0","0","0","3","7","2","0"
"CIT","9.76e-05","0","0","1","1","0","1","13","52","8","12"
"CITED1","8.17e-06","0","0","0","0","0","0","0","0","0","0"
"CITED2","1.877e-05","0","0","0","0","0","0","1","4","0","0"
"CITED4","2.99e-06","0","0","0","0","0","0","0","0","0","0"
"CIZ1","3.62e-05","0","1","1","0","1","0","5","21","3","10"
"CKAP2","2.375e-05","0","0","1","0","1","0","4","12","7","10"
"CKAP2L","2.632e-05","0","0","3","2","0","0","3","14","3","4"
"CKAP4","2.264e-05","0","0","0","0","0","0","2","8","9","3"
"CKAP5","6.99e-05","0","1","2","0","0","0","4","19","11","3"
"CKB","2.384e-05","0","0","0","0","0","0","0","6","4","0"
"CKLF","6.88e-06","0","0","1","0","0","0","0","2","0","1"
"CKLF-CMTM1","9.14e-06","0","0","8","1","1","0","0","4","0","0"
"CKM","2.191e-05","0","0","2","1","0","0","4","22","1","3"
"CKMT1A","2.002e-05","0","0","0","0","0","0","0","0","0","0"
"CKMT1B","2.001e-05","0","1","0","0","0","0","1","1","0","0"
"CKMT2","2.13e-05","0","4","3","0","1","0","0","5","2","1"
"CKS1B","3.89e-06","0","0","0","0","0","0","0","0","0","1"
"CKS2","3.161e-06","0","0","0","0","0","0","0","0","0","0"
"CLASP1","6.28e-05","0","0","1","0","0","2","7","37","7","8"
"CLASP2","4.94e-05","0","0","0","0","0","1","7","22","4","2"
"CLASRP","3.34e-05","0","1","6","0","0","0","4","12","1","7"
"CLC","4.96e-06","0","0","0","0","1","0","0","1","1","2"
"CLCA1","3.369e-05","0","0","3","4","0","0","7","25","5","4"
"CLCA2","3.166e-05","0","2","7","2","2","0","4","14","5","7"
"CLCA4","3.145e-05","0","2","12","1","4","0","9","26","6","7"
"CLCC1","2.106e-05","0","0","4","0","0","0","3","20","7","1"
"CLCF1","1.066e-05","0","1","1","0","0","0","2","0","0","0"
"CLCN1","3.94e-05","0","1","3","1","2","0","7","24","4","11"
"CLCN2","4.68e-05","0","2","8","0","0","0","6","28","9","6"
"CLCN3","3.195e-05","0","0","1","0","0","0","3","7","2","0"
"CLCN4","4.11e-05","0","0","0","0","0","0","2","1","0","0"
"CLCN5","3.044e-05","0","0","0","0","0","0","0","3","0","0"
"CLCN6","4.54e-05","0","0","0","1","0","0","8","14","1","4"
"CLCN7","3.93e-05","0","0","0","0","0","0","3","10","1","1"
"CLCNKA","3.43e-05","0","3","14","0","4","0","3","17","2","2"
"CLCNKB","3.41e-05","0","2","11","2","0","0","3","7","6","4"
"CLDN1","1.057e-05","0","0","1","0","0","0","3","5","2","2"
"CLDN10","1.015e-05","0","0","0","0","0","0","3","2","0","0"
"CLDN11","8.45e-06","0","0","0","0","0","0","2","1","0","0"
"CLDN12","9.63e-06","0","0","0","0","0","0","0","2","1","0"
"CLDN14","1.444e-05","0","0","0","0","0","0","3","12","6","3"
"CLDN15","1.342e-05","0","0","0","0","2","0","0","3","3","2"
"CLDN16","1.263e-05","0","0","0","0","0","0","1","4","2","3"
"CLDN17","8.95e-06","0","0","4","0","0","0","0","9","1","3"
"CLDN18","1.29e-05","0","0","1","2","0","0","1","3","5","2"
"CLDN19","1.044e-05","0","0","0","0","0","0","1","7","1","1"
"CLDN2","8.03e-06","0","0","0","0","0","0","0","0","0","0"
"CLDN20","8.39e-06","0","0","2","0","0","0","1","15","1","3"
"CLDN22","7.98e-06","0","0","1","0","0","0","0","3","0","1"
"CLDN23","1.567e-05","0","0","0","0","0","0","2","7","1","0"
"CLDN25","8.66e-06","0","0","3","0","0","0","2","2","2","1"
"CLDN3","1.858e-05","0","0","0","0","0","0","1","1","0","0"
"CLDN4","1.459e-05","0","0","0","0","0","0","0","4","4","2"
"CLDN5","1.882e-05","0","0","1","0","0","0","0","0","0","0"
"CLDN6","1.138e-05","0","0","1","0","0","0","4","4","1","0"
"CLDN7","1.077e-05","0","0","4","0","0","0","1","2","4","2"
"CLDN8","1.013e-05","0","0","0","1","2","0","0","6","1","1"
"CLDN9","1.386e-05","0","0","1","0","0","0","2","8","6","6"
"CLDND1","9.56e-06","0","0","0","0","0","0","1","2","1","1"
"CLDND2","1.089e-05","0","0","3","0","0","0","1","6","2","0"
"CLEC10A","1.303e-05","0","2","11","0","2","0","0","7","4","0"
"CLEC11A","1.92e-05","0","2","4","0","0","0","1","5","1","0"
"CLEC12A","7.52e-06","0","2","1","0","0","0","1","10","2","2"
"CLEC12B","7.67e-06","0","1","2","0","1","0","0","2","1","1"
"CLEC14A","2.49e-05","0","0","0","0","0","0","1","4","1","1"
"CLEC16A","5.61e-05","0","0","4","1","0","0","6","26","13","7"
